,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,RET_FT4_POOLED
2698,Southern Oregon University,Ashland,OR,3,22.0,0.897,630.0,600.0,3208.0,11142.0,28962.0,0.4103,0.6919,0.2833,1,999.0,15066.0,1500.0,11501.0,1500.0,43400,20.0,44888.0,50409.0,0.11,9106.0,,32578,54749.32,0.327,8758.0,8027.0,0.6851
2702,Warner Pacific University,Portland,OR,3,11.0,0.7562,651.0,645.0,406.0,19860.0,19860.0,0.3375,0.6875,0.2597,1,160.0,9472.0,2686.0,11520.0,3008.0,45200,6.0,51568.0,56388.0,0.09,5808.0,,35115,63798.34,0.694,7620.0,17660.0,0.6855
2703,Corban University,Salem,OR,3,12.0,0.375,605.0,560.0,861.0,34756.0,34756.0,0.6436,0.7083,0.562,1,1000.0,10616.0,4000.0,12000.0,4000.0,40200,12.0,40779.0,56778.0,0.23,6579.0,,67205,61069.68,0.5725,3900.0,9967.0,0.746
2706,Willamette University,Salem,OR,3,12.0,0.7962,651.0,645.0,1186.0,44234.0,44234.0,0.7198,0.8019,0.6564,1,1042.0,13480.0,1350.0,13480.0,1350.0,57900,12.0,54588.0,63641.0,0.27,10969.0,,73572,68135.42,0.4647,16095.0,23880.0,0.8098
2707,Western Oregon University,Monmouth,OR,3,31.0,0.9157,651.0,645.0,3524.0,10269.0,29709.0,0.4834,0.6547,0.2748,1,1200.0,10803.0,2460.0,10146.0,2460.0,43400,12.0,46144.0,55751.0,0.12,6984.0,,41710,59410.15,0.7641,9312.0,7589.0,0.6817
2708,University of Western States,Portland,OR,3,11.0,,651.0,645.0,0.0,,,,,,1,,13463.14,2971.71,12642.0,3081.25,54600,7.0,37645.0,,0.1,7064.0,,8829,62894.03,0.0,8905.0,26418.0,
2993,Augustana University,Sioux Falls,SD,3,12.0,0.7182,640.0,660.0,1658.0,35914.0,35914.0,0.7057,0.8391,0.5695,1,1000.0,8858.0,6500.0,9500.0,8700.0,49500,11.0,49816.0,60469.0,0.23,6810.0,,83402.5,60196.68,0.5999,12438.0,15473.0,0.8393
2995,Black Hills State University,Spearfish,SD,3,32.0,0.9725,580.0,570.0,2042.0,9000.0,12100.0,0.4248,0.6135,0.2626,1,1200.0,7400.0,4500.0,7400.0,4500.0,40500,17.0,39048.0,47045.0,0.14,7283.0,,51046,49477.45,0.3566,6211.0,6535.0,0.6328
2996,Dakota State University,Madison,SD,3,32.0,0.8561,635.0,610.0,1910.0,9633.0,12735.0,0.4675,0.7211,0.2844,1,1200.0,7148.0,4874.0,7433.0,5807.0,43100,18.0,40568.0,53359.0,0.13,8564.0,,50856.5,52093.19,0.4058,8651.0,7800.0,0.7175
2997,Dakota Wesleyan University,Mitchell,SD,3,33.0,0.7574,550.0,550.0,654.0,30880.0,30880.0,0.5486,0.7126,0.4425,1,1200.0,7350.0,1850.0,9000.0,2000.0,40900,12.0,48085.0,52255.0,0.15,6148.0,,68742.5,47601.81,0.904,5969.0,12427.0,0.7031
3002,Mount Marty University,Yankton,SD,3,33.0,0.6737,540.0,510.0,666.0,29980.0,29980.0,0.61,0.6078,0.49,1,1200.0,8554.0,4482.0,8554.0,5202.0,39400,12.0,41702.0,49391.0,0.1,7167.0,,57420,49528.49,0.3749,7334.0,10878.0,0.6716
3003,National American University-Rapid City,Rapid City,SD,3,13.0,,651.0,645.0,937.0,15660.0,15660.0,0.1053,0.25,0.125,1,0.0,12545.409971181556,3477.6961671469735,12213.0,954.0,39500,6.0,35826.0,47142.0,0.03,,,17982,60277.72,0.5868,2132.0,13185.0,0.25
3004,Kairos University,Sioux Falls,SD,3,12.0,0.6207,651.0,645.0,36.0,3600.0,3600.0,,0.8,,1,1000.0,12545.409971181556,3477.6961671469735,15000.0,2500.0,,2.0,,,,5179.0,,PrivacySuppressed,PrivacySuppressed,0.0,3084.0,5632.0,0.8
3005,Northern State University,Aberdeen,SD,3,33.0,0.7982,600.0,590.0,1344.0,8845.0,11947.0,0.4757,0.6842,0.3697,1,1200.0,9150.0,4300.0,9150.0,4300.0,37300,16.0,40635.0,49597.0,0.13,7502.0,,52170,48289.97,0.2739,9854.0,5375.0,0.7224
3007,Presentation College,Aberdeen,SD,3,33.0,0.9373,560.0,540.0,547.0,22006.0,22006.0,0.3465,0.5065,0.3061,1,1704.0,10430.0,3506.0,10179.0,3506.0,38100,11.0,42432.0,68662.0,0.11,5074.0,,48982,47349.48,0.6756,6803.0,14268.0,0.5068
3009,South Dakota School of Mines and Technology,Rapid City,SD,3,13.0,0.8048,665.0,690.0,1976.0,12110.0,16530.0,0.5231,0.7036,0.2404,1,2060.0,8140.0,4400.0,10760.0,4400.0,62400,11.0,59222.0,75625.0,0.25,9844.0,,76508,52423.4,0.4688,11960.0,8714.0,0.7437
3010,South Dakota State University,Brookings,SD,3,33.0,0.8743,600.0,620.0,8651.0,9299.0,12809.0,0.5955,0.7986,0.4152,1,1200.0,8054.0,4063.0,9025.0,4780.0,50200,17.0,47108.0,58219.0,0.21,8860.0,,73000,53049.11,0.4901,8746.0,8708.0,0.8043
3011,Sinte Gleska University,Mission,SD,3,43.0,,651.0,645.0,688.0,3154.0,3154.0,0.0,0.3333,0.0,1,1000.0,12545.409971181556,3477.6961671469735,10000.0,7000.0,20500,16.0,24768.0,19293.0,,3753.0,,3684,30228.1,0.0,3764.0,1138.0,0.7778
3012,University of Sioux Falls,Sioux Falls,SD,3,12.0,0.7665,651.0,645.0,1306.0,19900.0,19900.0,0.5766,0.7383,0.4672,1,1000.0,7930.0,3840.0,9415.0,4285.0,44800,17.0,46152.0,56476.0,0.21,6611.0,,62319,57493.05,0.6913,5359.0,11794.0,0.7664
3017,University of South Dakota,Vermillion,SD,3,32.0,0.8701,640.0,650.0,5328.0,9432.0,12942.0,0.601,0.7733,0.4277,1,1200.0,8600.0,4625.0,9013.0,6012.0,49500,14.0,46244.0,55575.0,0.15,8332.0,,64843.5,53799.09,0.4677,10574.0,8289.0,0.791
3286,Brigham Young University,Provo,UT,3,12.0,0.5918,720.0,720.0,31642.0,6120.0,6120.0,0.7675,0.8921,0.2493,1,912.0,8048.0,5066.0,8048.0,5066.0,71500,21.0,29213.0,96443.0,0.36,12004.0,,46790,64914.81,0.1144,14980.0,5405.0,0.9044
3287,Brigham Young University-Hawaii,Laie,HI,3,31.0,0.8769,650.0,610.0,2861.0,6068.0,6068.0,0.7107,0.624,0.3046,1,1310.0,8034.0,6455.0,4800.0,6455.0,49100,16.0,28233.0,68474.0,0.25,10015.0,,39517,69190.39,0.0805,12769.0,3265.0,0.6315
3292,Utah Tech University,Saint George,UT,3,13.0,,651.0,645.0,8796.0,5862.0,16986.0,0.3789,0.5886,0.1488,1,800.0,7200.0,6782.0,7200.0,6782.0,41400,22.0,29907.0,57391.0,0.15,7304.0,,35331,56462.47,0.1936,3800.0,5547.0,0.5915
3296,Eagle Gate College-Murray,Murray,UT,3,21.0,,651.0,645.0,285.0,17112.0,17112.0,0.3968,0.52,0.4516,1,0.0,9144.4,4284.6,10336.0,9000.0,31600,27.0,31780.0,44454.0,0.05,6053.0,,22815,64280.58,0.7992,6878.0,19753.0,0.6136
3300,Southern Utah University,Cedar City,UT,3,33.0,0.8873,640.0,600.0,9297.0,6726.0,20542.0,0.5472,0.7346,0.2942,1,1600.0,7500.0,4800.0,7500.0,4800.0,45500,23.0,33835.0,66041.0,0.21,7545.0,,41064,55546.63,0.526,6611.0,7323.0,0.7294
3302,Utah State University,Logan,UT,3,13.0,0.9263,660.0,650.0,20516.0,8960.0,24080.0,0.5578,0.7361,0.2936,1,836.0,8076.0,4072.0,8300.0,4072.0,49600,21.0,34479.0,70498.0,0.23,9658.0,,42950.5,60534.36,0.2221,10909.0,6662.0,0.7347
3305,University of Utah,Salt Lake City,UT,3,12.0,0.9497,690.0,700.0,24850.0,8893.0,28345.0,0.672,0.8663,0.3587,1,1036.0,10662.0,3672.0,12978.0,3672.0,63500,18.0,49195.0,77191.0,0.21,11146.0,,38625,69474.52,0.2371,16497.0,12602.0,0.8761
3307,Westminster College,Salt Lake City,UT,3,12.0,0.7573,680.0,670.0,1153.0,39200.0,39200.0,0.6331,0.8523,0.5168,1,1000.0,10600.0,3975.0,14189.0,4236.0,58100,8.0,54938.0,70434.0,0.23,8011.0,,56805,70649.66,0.4215,12953.0,17998.0,0.7664
3413,Central Washington University,Ellensburg,WA,3,32.0,0.8845,651.0,645.0,9508.0,8685.0,25213.0,0.5363,0.6858,0.3232,1,900.0,13938.0,2922.0,9741.0,2922.0,50100,15.0,52966.0,67299.0,0.16,8941.0,,42459,63170.67,0.3793,9174.0,7032.0,0.6963
3415,City University of Seattle,Seattle,WA,3,11.0,,651.0,645.0,1004.0,,,,,,1,,13681.5,3241.75,13948.8,3342.2,53400,6.0,61319.0,74386.0,0.11,6823.0,,32049,67486.66,0.1837,8983.0,22738.0,
3420,Cornish College of the Arts,Seattle,WA,3,11.0,0.6381,651.0,645.0,428.0,35486.0,35486.0,0.5112,0.7083,0.4663,1,1800.0,13416.0,2800.0,13416.0,2800.0,33600,7.0,38256.0,39455.0,0.15,6545.0,,58476,69763.39,0.6494,18024.0,31116.0,0.6403
3422,Eastern Washington University,Cheney,WA,3,31.0,0.9707,651.0,645.0,7589.0,7922.0,25748.0,0.4962,0.6685,0.2649,1,942.0,13060.0,3132.0,10500.0,3525.0,46700,20.0,51339.0,60398.0,0.16,9399.0,,38218.5,56952.77,0.6182,7844.0,7398.0,0.6906
3426,The Evergreen State College,Olympia,WA,3,22.0,0.9946,630.0,570.0,1819.0,8529.0,29172.0,0.4323,0.6652,0.3229,1,900.0,13149.0,3525.0,13149.0,3525.0,36900,14.0,40885.0,45150.0,0.13,8267.0,,22200,63843.36,0.4322,10947.0,6958.0,0.6337
3429,Gonzaga University,Spokane,WA,3,12.0,0.7615,690.0,690.0,4962.0,48470.0,48470.0,0.8511,0.92,0.7541,1,1212.0,13192.0,3787.0,10887.0,3787.0,63800,11.0,70656.0,86875.0,0.33,10231.0,,110000,67848.44,0.3926,11286.0,22492.0,0.9212
3433,Heritage University,Toppenish,WA,3,41.0,,651.0,645.0,805.0,18500.0,18500.0,0.5333,0.7188,0.2941,1,942.0,12675.33,3130.9,10650.0,3983.0,36800,9.0,44178.0,48652.0,0.09,7062.0,,26087,46851.84,0.4022,11487.0,16154.0,0.7922
3436,Bastyr University,Kenmore,WA,3,21.0,,651.0,645.0,67.0,,,,,,1,,12675.33,3130.9,11868.89,3261.01,44500,10.0,50057.0,,0.1,6936.0,,18650.5,70371.36,0.5688,21684.0,28637.0,
