,INSTNM,CITY,STABBR,PREDDEG,LOCALE,ADM_RATE,SATVR75,SATMT75,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,RET_FT4,C100_4,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,MN_EARN_WNE_P10,STUFACR,MD_EARN_WNE_MALE0_P10,MD_EARN_WNE_MALE1_P10,BBRR4_FED_UG_PAIDINFULL,AVGFACSAL,PRGMOFR,MD_FAMINC,MEDIAN_HH_INC,PCTFLOAN,INEXPFTE,TUITFTE,RET_FT4_POOLED
1117,Simpson College,Indianola,IA,3,31.0,0.9083,620.0,660.0,1167.0,44030.0,44030.0,0.6894,0.6983,0.6522,1,1146.0,9654.0,3334.0,7792.0,3552.0,51200,11.0,49008.0,59168.0,0.15-0.16,6773.0,,72990.5,60274.33,0.7069,9544.0,13486.0,0.7325
1118,Southeastern Community College,West Burlington,IA,2,33.0,,,,1497.0,6090.0,6240.0,,,,2,1298.0,9210.0,3726.0,9520.0,4544.0,31800,16.0,30161.0,43533.0,0.12,6990.0,,27207,49483.4,0.2571,11645.0,3583.0,
1119,Southwestern Community College,Creston,IA,2,33.0,,,,749.0,6560.0,6784.0,,,,2,1344.0,8460.0,1725.0,8460.0,3268.0,34100,15.0,35477.0,45268.0,0.11-0.12,5311.0,,34342,46804.6,0.2422,9306.0,3705.0,
1120,Capri College-Davenport,Davenport,IA,1,12.0,,,,140.0,,,,,,2,,,,,,23000,10.0,22573.0,,0.05-0.09,,5.0,26176,57931.45,0.6344,4899.0,6890.0,
1121,Iowa School of Beauty-Sioux City,Sioux City,IA,1,13.0,,,,14.0,,,,,,2,,,,,,19300,8.0,19266.0,,<=0.20,,2.0,14437,52918.04,0.7273,2927.0,8407.0,
1122,E Q School of Hair Design,Council Bluffs,IA,1,13.0,,,,41.0,,,,,,2,,,,,,20300,14.0,21178.0,,<=0.20,,1.0,17587,52751.49,0.8209,4097.0,5802.0,
1123,Upper Iowa University,Fayette,IA,3,43.0,0.6492,555.0,510.0,2323.0,33609.0,33609.0,0.3855,0.5492,0.2827,1,1620.0,9410.0,3419.0,9410.0,3419.0,45500,12.0,48937.0,57142.0,0.08,5956.0,,31130,57565.93,0.5745,3769.0,9104.0,0.6474
1124,Waldorf University,Forest City,IA,3,33.0,0.7229,,,2034.0,23666.0,23666.0,0.3116,0.4551,0.0452,1,1386.0,8062.0,3266.0,8062.0,3266.0,42400,24.0,38693.0,49771.0,0.1,5651.0,,40142,57010.8,0.4035,2290.0,9621.0,0.3542
1125,Wartburg College,Waverly,IA,3,32.0,0.8275,598.0,600.0,1505.0,47500.0,47500.0,0.6989,0.735,0.663,1,1100.0,9990.0,1300.0,9990.0,1300.0,50600,14.0,52434.0,63606.0,0.23-0.24,6924.0,,83925.5,58222.9,0.6645,8451.0,16941.0,0.7757
1126,Wartburg Theological Seminary,Dubuque,IA,4,13.0,,,,,,,,,,1,,,,,,PrivacySuppressed,,,,PrivacySuppressed,6795.0,,PrivacySuppressed,52068.33,,6219.0,6325.0,
1127,The Salon Professional Academy-Cedar Falls,Cedar Falls,IA,1,13.0,,,,96.0,,,,,,2,,,,,,20100,24.0,25074.0,,PrivacySuppressed,,1.0,20845,49247.14,0.4953,2515.0,5929.0,
1128,Western Iowa Tech Community College,Sioux City,IA,1,13.0,,,,2657.0,4802.0,4826.0,,,,2,1200.0,6290.0,4935.0,6291.0,4935.0,34200,15.0,32984.0,46325.0,0.11,6673.0,,30445,53055.62,0.3772,7503.0,3738.0,
1129,William Penn University,Oskaloosa,IA,3,33.0,0.5768,520.0,510.0,1263.0,27200.0,27200.0,0.3214,0.6108,0.224,1,1318.0,7256.0,4826.0,6532.0,5550.0,46400,17.0,41812.0,48492.0,0.07,5872.0,,38157,58579.66,0.8864,5484.0,9800.0,0.6083
1130,Allen County Community College,Iola,KS,2,33.0,,,,1224.0,3080.0,3080.0,,,,2,392.0,6300.0,5052.0,6300.0,5052.0,34900,21.0,32897.0,43102.0,0.09-0.10,5886.0,,30009,52505.69,0.1297,3149.0,1761.0,
1131,Baker University,Baldwin City,KS,3,31.0,0.9906,560.0,570.0,1206.0,31700.0,31700.0,0.6209,0.6651,0.4945,1,1200.0,9330.0,5190.0,8330.0,5190.0,59500,12.0,56497.0,70148.0,0.14,6603.0,,55117,67758.92,0.5768,6641.0,12980.0,0.7294
1132,Barton County Community College,Great Bend,KS,2,41.0,,,,2157.0,3552.0,4544.0,,,,2,1460.0,9080.0,4240.0,9080.0,4240.0,35500,18.0,35705.0,43617.0,0.11-0.12,5850.0,,30428.5,47554.85,0.1011,5413.0,2976.0,
1133,Benedictine College,Atchison,KS,3,32.0,0.985,690.0,660.0,2073.0,32630.0,32630.0,0.628,0.8052,0.437,1,1200.0,12250.0,5000.0,8900.0,5000.0,45000,13.0,40413.0,57463.0,0.25-0.26,6240.0,,95543,64485.18,0.5094,7834.0,13243.0,0.8198
1134,Bethany College,Lindsborg,KS,3,33.0,0.7187,495.0,520.0,690.0,31215.0,31215.0,0.3043,0.3846,0.2609,1,870.0,12975.0,6500.0,,,45100,14.0,43333.0,49977.0,0.10-0.14,4668.0,,45677,57710.76,0.7785,5912.0,10520.0,0.4442
1135,Bethel College-North Newton,North Newton,KS,3,32.0,0.706,590.0,570.0,478.0,31164.0,31164.0,0.4651,0.66,0.3333,1,700.0,9810.0,5157.0,10607.0,10642.0,45600,10.0,44106.0,50842.0,0.15-0.19,5648.0,,42987.5,58345.11,0.688,7492.0,12198.0,0.682
1136,Butler Community College,El Dorado,KS,2,32.0,,,,6129.0,3561.0,5976.0,,,,2,1000.0,6585.0,2400.0,11776.0,2400.0,36100,17.0,36301.0,44962.0,0.08,6119.0,,29514,58911.52,0.1879,4330.0,3277.0,
1137,Central Christian College of Kansas,McPherson,KS,3,33.0,,,,497.0,20225.0,20225.0,0.2154,0.5043,0.1208,1,1200.0,8000.0,3070.0,11063.0,3270.0,34800,16.0,31541.0,44201.0,0.07-0.08,3797.0,,30263,55393.39,0.7393,2589.0,11073.0,0.5628
1138,Cloud County Community College,Concordia,KS,2,41.0,,,,781.0,3180.0,3570.0,,,,2,1500.0,5896.0,4756.0,5896.0,4756.0,33600,9.0,33476.0,42455.0,0.09-0.10,4797.0,,28976,46989.25,0.1265,8639.0,2978.0,
1139,Coffeyville Community College,Coffeyville,KS,2,33.0,,,,890.0,3040.0,4608.0,,,,2,1100.0,7050.0,2400.0,7100.0,2400.0,36600,21.0,31361.0,38196.0,0.05-0.06,4945.0,,27976,47474.88,0.201,7364.0,4398.0,
1140,Colby Community College,Colby,KS,2,33.0,,,,827.0,3863.0,5553.0,,,,2,996.0,7032.0,3016.0,7868.0,3016.0,36400,13.0,34951.0,43214.0,0.13-0.14,5028.0,,31975.5,47785.01,0.236,5441.0,3722.0,
1141,Cowley County Community College,Arkansas City,KS,2,32.0,,,,1785.0,3420.0,5190.0,,,,2,2000.0,5550.0,4500.0,6200.0,4500.0,36300,18.0,34348.0,44704.0,0.07,5354.0,,31967,55353.2,0.2517,3827.0,2652.0,
1142,Dodge City Community College,Dodge City,KS,1,33.0,,,,1040.0,3330.0,4830.0,,,,2,1600.0,7200.0,3496.0,9000.0,3496.0,37300,17.0,34586.0,41345.0,0.05-0.09,6052.0,,29273,51590.18,0.0843,6120.0,4920.0,
1143,Donnelly College,Kansas City,KS,2,12.0,,,,343.0,8706.0,8706.0,0.2414,0.6438,,1,960.0,,,10600.0,7860.0,28500,8.0,29582.0,35009.0,<=0.10,3716.0,,22484.5,46706.81,0.1815,7625.0,6776.0,0.6325
