,INSTNM,CITY,STABBR,PREDDEG,LOCALE,ADM_RATE,SATVR75,SATMT75,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,RET_FT4,C100_4,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,MN_EARN_WNE_P10,STUFACR,MD_EARN_WNE_MALE0_P10,MD_EARN_WNE_MALE1_P10,BBRR4_FED_UG_PAIDINFULL,AVGFACSAL,PRGMOFR,MD_FAMINC,MEDIAN_HH_INC,PCTFLOAN,INEXPFTE,TUITFTE,RET_FT4_POOLED
0,Alabama A & M University,Normal,AL,3,12.0,0.716,520.0,510.0,5098.0,10024.0,18634.0,0.2807,0.5797,0.1121,1,1600.0,9520.0,3090.0,9520.0,3090.0,35500,18.0,38167.0,40250.0,0.02,8779.0,,23553,49720.22,0.6552,7699.0,9243.0,0.559
1,University of Alabama at Birmingham,Birmingham,AL,3,12.0,0.8854,680.0,708.0,13284.0,8568.0,20400.0,0.6245,0.8392,0.4209,1,1200.0,12307.0,5555.0,12307.0,5555.0,48400,19.0,46559.0,59181.0,0.1,11590.0,,34489,55735.22,0.4401,14264.0,11678.0,0.8522
2,Amridge University,Montgomery,AL,3,12.0,,,,251.0,,,0.4444,,0.6667,1,,,,,,47600,13.0,32654.0,49435.0,<=0.05,4672.0,,15033.5,53683.7,0.8423,4381.0,14093.0,0.5
3,University of Alabama in Huntsville,Huntsville,AL,3,12.0,0.7367,700.0,720.0,7358.0,11488.0,23884.0,0.6072,0.7899,0.3528,1,2300.0,10764.0,4156.0,10764.0,4156.0,52000,19.0,47787.0,67454.0,0.14,9820.0,,44787,58688.62,0.3578,8156.0,8246.0,0.8048
4,Alabama State University,Montgomery,AL,3,12.0,0.9799,534.0,516.0,3495.0,11068.0,19396.0,0.2843,0.6436,0.1014,1,1600.0,6050.0,3392.0,7320.0,5130.0,30600,13.0,32303.0,36964.0,0.02,7701.0,,22080.5,46065.2,0.7637,9459.0,8535.0,0.6315
5,The University of Alabama,Tuscaloosa,AL,3,13.0,0.789,680.0,690.0,30725.0,11620.0,31090.0,0.7223,0.8855,0.5264,1,800.0,13934.0,4670.0,13934.0,4670.0,51600,19.0,49692.0,65820.0,0.16,10509.0,,66733.5,57928.41,0.3454,8912.0,13731.0,0.8788
6,Central Alabama Community College,Alexander City,AL,2,32.0,,,,940.0,4930.0,8620.0,,,,2,1000.0,,,10238.0,4360.0,32400,15.0,28871.0,44599.0,0.05-0.06,6523.0,,22217,43985.14,0.1488,8098.0,1731.0,
7,Athens State University,Athens,AL,3,31.0,,,,2511.0,,,,,,1,,,,,,42400,14.0,41694.0,59402.0,0.07,8834.0,,29645.5,50752.1,0.455,7908.0,6761.0,
8,Auburn University at Montgomery,Montgomery,AL,3,12.0,0.968,595.0,565.0,3742.0,8860.0,18820.0,0.3569,0.6303,0.1272,1,1200.0,7368.0,3830.0,10296.0,3830.0,38000,15.0,41023.0,52419.0,0.07,7885.0,,29671.5,50723.81,0.5138,7040.0,7879.0,0.6627
9,Auburn University,Auburn,AL,3,13.0,0.7118,,,24782.0,11826.0,31986.0,0.8088,0.9289,0.552,1,1200.0,14596.0,6028.0,14596.0,6028.0,56300,20.0,51747.0,72676.0,0.22,11093.0,,72031,59005.4,0.2869,8180.0,17273.0,0.9243
10,Birmingham-Southern College,Birmingham,AL,3,12.0,0.6591,610.0,630.0,1048.0,20100.0,20100.0,0.6984,0.7813,0.6485,1,1000.0,13600.0,2770.0,8000.0,4690.0,53100,10.0,50574.0,62871.0,0.15-0.19,7636.0,,68094.5,64789.39,0.6785,11867.0,10137.0,0.7891
11,Chattahoochee Valley Community College,Phenix City,AL,1,41.0,,,,1107.0,3936.0,7128.0,,,,2,800.0,,,5500.0,2000.0,31300,12.0,30977.0,35241.0,0.03-0.04,6452.0,,20813,46908.55,0.2352,6304.0,1380.0,
12,South University-Montgomery,Montgomery,AL,3,12.0,,,,337.0,17014.0,17014.0,0.1071,0.5,0.0909,1,1500.0,,,7792.0,6782.0,40200,15.0,33112.0,43950.0,0.05,5061.0,,20000,55764.27,0.6125,7130.0,9771.0,0.4348
13,Enterprise State Community College,Enterprise,AL,2,32.0,,,,1336.0,4860.0,8550.0,,,,2,950.0,,,5400.0,2696.0,42700,16.0,30182.0,49872.0,0.09-0.10,8764.0,,20456,44274,0.1968,6070.0,3488.0,
14,Coastal Alabama Community College,Bay Minette,AL,2,32.0,,,,5217.0,4860.0,8850.0,,,,2,1500.0,5900.0,4407.0,6215.0,4507.0,33900,16.0,29833.0,43775.0,0.07,7345.0,,24150,52162.04,0.2051,5588.0,2249.0,
15,Faulkner University,Montgomery,AL,3,12.0,0.646,600.0,605.0,1696.0,23490.0,23490.0,0.1851,0.6421,0.1191,1,1800.0,7900.0,4400.0,7900.0,4400.0,40700,13.0,36554.0,50237.0,0.04,6271.0,,24037.5,52330.99,0.6022,7932.0,13718.0,0.6238
16,Gadsden State Community College,Gadsden,AL,2,13.0,,,,3513.0,3936.0,6888.0,,,,2,1600.0,4800.0,2324.0,4500.0,2916.0,30200,15.0,26278.0,40576.0,PrivacySuppressed,6832.0,,16623,43919.51,0.0,5611.0,2113.0,
17,New Beginning College of Cosmetology,Albertville,AL,1,32.0,,,,57.0,,,,,,3,,,,,,,14.0,,,0.10-0.19,,2.0,17173,,0.6538,2573.0,7442.0,
18,George C Wallace Community College-Dothan,Dothan,AL,1,13.0,,,,3191.0,4800.0,8790.0,,,,2,1200.0,,,9450.0,1000.0,29800,14.0,28146.0,39561.0,PrivacySuppressed,6455.0,,15816,43000.16,0.0,7019.0,2844.0,
19,George C Wallace State Community College-Hanceville,Hanceville,AL,1,32.0,,,,4303.0,4860.0,8550.0,,,,2,1600.0,4900.0,6160.0,12080.0,6160.0,34800,18.0,31161.0,45099.0,0.1,7650.0,,27572,47769.34,0.2154,6618.0,3154.0,
20,George C Wallace State Community College-Selma,Selma,AL,2,32.0,,,,942.0,4560.0,8250.0,,,,2,2500.0,,,7400.0,1000.0,27300,14.0,24143.0,35355.0,PrivacySuppressed,6309.0,,14330,35579.05,0.0,4735.0,1737.0,
21,Herzing University-Birmingham,Birmingham,AL,1,21.0,0.9385,,,608.0,14200.0,14200.0,0.3913,0.5,,1,0.0,,,9243.0,5202.0,41600,14.0,32250.0,42286.0,0.04,6644.0,,18321,60281.46,0.7582,3760.0,13409.0,0.4444
22,Huntingdon College,Montgomery,AL,3,12.0,0.693,560.0,510.0,838.0,27900.0,27900.0,0.4422,0.7215,0.3347,1,300.0,10460.0,2068.0,9460.0,2068.0,43600,15.0,44896.0,52578.0,0.11-0.12,7133.0,,37577,54037.99,0.7043,7326.0,13368.0,0.7095
23,Heritage Christian University,Florence,AL,3,13.0,,,,71.0,11632.0,11632.0,0.0,1.0,0.0,1,1000.0,5822.0,2529.0,14490.0,4005.0,PrivacySuppressed,6.0,,,PrivacySuppressed,5072.0,,36524,51048.04,0.0429,9032.0,12070.0,1.0
24,J. F. Drake State Community and Technical College,Huntsville,AL,1,12.0,,,,688.0,4830.0,8520.0,,,,2,2000.0,,,6300.0,2800.0,27600,12.0,26580.0,31251.0,PrivacySuppressed,6085.0,,13959,52646.49,0.0,6551.0,2149.0,
25,J F Ingram State Technical College,Deatsville,AL,1,21.0,,,,400.0,5472.0,5472.0,,,,2,612.0,,,,,,9.0,,,PrivacySuppressed,5888.0,,0,,0.0,12748.0,33.0,
26,Jacksonville State University,Jacksonville,AL,3,23.0,0.7634,580.0,660.0,6992.0,11120.0,20840.0,0.4966,0.6922,0.2576,1,1196.0,8320.0,1997.0,9927.0,2680.0,38100,19.0,38720.0,45632.0,0.07,7499.0,,35734,48389.27,0.6939,7545.0,6620.0,0.7144
27,Jefferson State Community College,Birmingham,AL,2,12.0,,,,6143.0,4920.0,8610.0,,,,2,1552.0,,,15066.0,4759.0,33800,19.0,34017.0,46291.0,0.1,6996.0,,25922,57833.36,0.1976,5217.0,3116.0,
28,John C Calhoun State Community College,Tanner,AL,1,41.0,,,,6795.0,4940.0,8630.0,,,,2,2650.0,,,4500.0,3200.0,32200,20.0,30025.0,43109.0,0.08,7044.0,,25186,56005.43,0.1758,4839.0,3686.0,
29,Lawson State Community College,Birmingham,AL,2,12.0,,,,2779.0,4860.0,8550.0,,,,2,2300.0,4760.0,3000.0,7560.0,5807.0,26600,17.0,28409.0,33833.0,PrivacySuppressed,6854.0,,16187.5,40437.86,0.0,6514.0,1447.0,
30,University of West Alabama,Livingston,AL,3,43.0,0.7433,470.0,510.0,2310.0,10990.0,20090.0,0.3914,0.627,0.2602,1,1216.0,7594.0,3505.0,7200.0,3505.0,40400,14.0,33826.0,44939.0,0.05,6730.0,,25552.5,40238.44,0.6499,7462.0,8863.0,0.6259
31,Lurleen B Wallace Community College,Andalusia,AL,2,41.0,,,,1129.0,4620.0,8310.0,,,,2,1192.0,5550.0,3625.0,9450.0,3625.0,32000,16.0,26499.0,37363.0,PrivacySuppressed,6654.0,,18213,37073.95,0.0,5759.0,1581.0,
32,Marion Military Institute,Marion,AL,2,43.0,0.4535,650.0,650.0,314.0,9218.0,15218.0,,,,2,1800.0,4950.0,2400.0,,,49800,11.0,35049.0,53274.0,0.20-0.24,6652.0,,38434,56305.23,0.3641,4202.0,2732.0,
33,Miles College,Fairfield,AL,3,21.0,,,,1517.0,12714.0,12714.0,0.2388,0.599,0.1442,1,250.0,7348.0,2832.0,10845.0,2992.0,29500,16.0,29466.0,33142.0,<=0.01,4917.0,,17702.5,43157.79,0.8049,4111.0,4779.0,0.5788
34,University of Mobile,Mobile,AL,3,41.0,0.6409,,,1112.0,24855.0,24855.0,0.5141,0.6426,0.3582,1,1800.0,10088.0,4750.0,9000.0,4800.0,38700,14.0,38868.0,55918.0,0.07-0.08,5411.0,,39700,51833.34,0.488,6500.0,9788.0,0.7146
35,University of Montevallo,Montevallo,AL,3,21.0,0.9009,590.0,610.0,2184.0,13710.0,26730.0,0.517,0.7099,0.3393,1,1020.0,9936.0,3180.0,9810.0,3180.0,36100,12.0,38636.0,46025.0,0.07,7518.0,,43813,59047.15,0.5247,12702.0,9324.0,0.7481
36,Northwest-Shoals Community College,Muscle Shoals,AL,1,13.0,,,,2095.0,4831.0,8521.0,,,,2,1600.0,,,5500.0,4370.0,30800,17.0,27300.0,40572.0,0.09,6636.0,,21195,43283.31,0.1952,5764.0,2624.0,
37,University of North Alabama,Florence,AL,3,13.0,0.8997,,,5165.0,10620.0,20220.0,0.5121,0.7492,0.2829,1,1500.0,7966.0,2800.0,7966.0,2800.0,42800,17.0,38568.0,46053.0,0.09,8567.0,,39436,48189.09,0.4218,8346.0,7620.0,0.762
38,Northeast Alabama Community College,Rainsville,AL,1,42.0,,,,1565.0,4860.0,8850.0,,,,2,2400.0,,,3500.0,2400.0,31700,16.0,28610.0,43032.0,0.17-0.18,7228.0,,22763,43126.73,0.1399,5680.0,2686.0,
39,Oakwood University,Huntsville,AL,3,12.0,0.7185,,,1353.0,19990.0,19990.0,0.4911,0.7327,0.2657,1,1200.0,9374.0,8000.0,12840.0,8370.0,37400,10.0,40972.0,41672.0,0.02,5011.0,,36829,60906.45,0.6871,8317.0,13645.0,0.7376
40,Reid State Technical College,Evergreen,AL,1,41.0,,,,254.0,4890.0,8580.0,,,,2,1125.0,,,5000.0,1500.0,26800,12.0,24944.0,39776.0,PrivacySuppressed,6814.0,,14034,36356.31,0.0,10843.0,2047.0,
41,Bishop State Community College,Mobile,AL,2,12.0,,,,1885.0,4860.0,8550.0,,,,2,2000.0,,,6150.0,3000.0,28300,15.0,25495.0,34006.0,PrivacySuppressed,7178.0,,14536.5,41748.26,0.0,6114.0,2326.0,
42,Samford University,Birmingham,AL,3,21.0,0.8387,660.0,630.0,3604.0,35360.0,35360.0,0.7891,0.8929,0.6812,1,1000.0,11260.0,4894.0,11250.0,5490.0,59800,12.0,51988.0,65203.0,0.25-0.26,9220.0,,87745,69602.13,0.3093,14292.0,20237.0,0.8824
43,Shelton State Community College,Tuscaloosa,AL,2,13.0,,,,4018.0,4587.0,8277.0,,,,2,2000.0,,,9000.0,4050.0,31100,19.0,29167.0,41361.0,PrivacySuppressed,6739.0,,15976.5,43868.43,0.0,5849.0,2435.0,
44,Snead State Community College,Boaz,AL,2,32.0,,,,1537.0,5344.0,9280.0,,,,2,2735.0,4675.0,3939.0,7575.0,3939.0,30700,19.0,28843.0,40458.0,0.13-0.14,7150.0,,23735,42881.33,0.1312,3443.0,2970.0,
45,University of South Alabama,Mobile,AL,3,12.0,0.7078,610.0,605.0,8631.0,8756.0,17012.0,0.4741,0.7098,0.2791,1,1300.0,8150.0,4762.0,9020.0,4762.0,46800,17.0,40703.0,53151.0,0.09,7494.0,,36199,51919.71,0.512,10104.0,9225.0,0.7376
46,Spring Hill College,Mobile,AL,3,12.0,0.7152,530.0,530.0,989.0,21100.0,21100.0,0.5639,0.786,0.4819,1,1750.0,11440.0,2714.0,15888.0,2788.0,51300,11.0,48758.0,55502.0,0.15-0.16,5519.0,,61189,59048.32,0.7484,7490.0,12381.0,0.8
47,Stillman College,Tuscaloosa,AL,3,13.0,0.758,,,721.0,11392.0,11392.0,0.1466,0.6356,0.0647,1,2034.0,10054.0,4572.0,10054.0,4572.0,33700,14.0,32072.0,37115.0,<=0.02,5110.0,,19890,46186.31,0.7339,3605.0,8143.0,0.5874
48,Talladega College,Talladega,AL,3,32.0,,,,1144.0,13886.0,13886.0,0.2458,0.5965,0.1992,1,1200.0,8934.0,3700.0,3200.0,3700.0,23900,22.0,31626.0,27889.0,<=0.02,6315.0,,18810,44867.28,0.7036,4273.0,8669.0,0.6188
49,H Councill Trenholm State Community College,Montgomery,AL,2,12.0,,,,1522.0,4770.0,8460.0,,,,2,2000.0,,,4950.0,4000.0,28000,15.0,25570.0,36620.0,PrivacySuppressed,6674.0,,15992,44608.65,0.0,6302.0,2799.0,
50,Troy University,Troy,AL,3,33.0,0.9527,580.0,570.0,10916.0,9312.0,18624.0,0.5183,0.7402,0.295,1,1300.0,7599.0,4766.0,10342.0,4766.0,41100,16.0,37986.0,50596.0,0.05,7194.0,,29641,49132.68,0.6436,6742.0,9483.0,0.7547
51,Tuskegee University,Tuskegee,AL,3,32.0,0.342,580.0,550.0,2184.0,22614.0,22614.0,0.5697,0.7959,0.2686,1,1812.0,9844.0,7654.0,10055.0,7654.0,42200,9.0,40593.0,46996.0,0.03,7398.0,,35336,54155.29,0.1305,14340.0,14730.0,0.7827
52,United States Sports Academy,Daphne,AL,3,13.0,1.0,,,68.0,16418.0,16418.0,,,,1,1006.0,,,18060.0,3000.0,PrivacySuppressed,9.0,50270.0,46414.0,<=0.10,6266.0,,29000,59896.36,0.6364,8365.0,13404.0,
53,Bevill State Community College,Jasper,AL,1,32.0,,,,2291.0,5214.0,9150.0,,,,2,1400.0,4576.0,5616.0,7650.0,6488.0,31300,12.0,30063.0,40845.0,PrivacySuppressed,7015.0,,16911,41185.71,0.0,7659.0,2287.0,
54,University of Alaska Anchorage,Anchorage,AK,3,11.0,0.6905,,,7284.0,8622.0,25228.0,0.3047,0.6869,0.1516,1,1320.0,12662.0,8276.0,9868.0,9763.0,51200,12.0,45312.0,56895.0,0.15,9370.0,,33525,72116.59,0.1708,13122.0,8106.0,0.684
55,Alaska Bible College,Palmer,AK,3,32.0,,,,37.0,10900.0,10900.0,0.5,1.0,0.0,1,400.0,6000.0,3556.0,10168.0,4846.0,,5.0,,,PrivacySuppressed,,,42490,,0.175,5290.0,9080.0,0.7059
56,University of Alaska Fairbanks,Fairbanks,AK,3,23.0,0.6469,680.0,680.0,4108.0,7248.0,21384.0,0.3845,0.6793,0.2634,1,2000.0,10540.0,2650.0,12050.0,4250.0,45100,12.0,41851.0,55256.0,0.15,9570.0,,35967,65084.81,0.1844,19104.0,9274.0,0.729
57,University of Alaska Southeast,Juneau,AK,1,33.0,0.5625,,,999.0,6960.0,21096.0,0.3034,0.6471,0.1286,1,1400.0,9800.0,2448.0,10872.0,3716.0,39500,9.0,41544.0,41567.0,0.11-0.12,8436.0,,34718,73622.06,0.144,15362.0,8622.0,0.6406
58,Alaska Pacific University,Anchorage,AK,3,11.0,0.9603,,,347.0,20760.0,20760.0,0.2222,0.6842,0.1667,1,1200.0,8300.0,4410.0,17500.0,4410.0,45300,8.0,47566.0,48737.0,0.10-0.19,6497.0,,38810,70542.98,0.4519,13548.0,12185.0,0.5938
59,Alaska Vocational Technical Center,Seward,AK,1,43.0,,,,259.0,,,,,,3,,,,,,45600,12.0,37234.0,49668.0,0.20-0.39,,10.0,22043,62883.46,0.015,32724.0,7862.0,
60,Charter College,Vancouver,WA,1,12.0,,,,2215.0,17289.0,17289.0,0.5199,,,1,,,,7295.0,8226.0,46400,25.0,31810.0,48185.0,0.07,4921.0,,18566,75163.69,0.6665,1964.0,5239.0,0.5
61,Alaska Career College,Anchorage,AK,1,11.0,,,,317.0,,,,,,2,,,,,,32000,15.0,30675.0,33688.0,0.11-0.12,4139.0,7.0,23113.5,69860.72,0.6184,3241.0,7677.0,
62,Empire Beauty School-Tucson,Tucson,AZ,1,11.0,,,,138.0,,,,,,3,,,,,,24500,19.0,23018.0,24788.0,0.05,,3.0,14099,59293.36,0.524,6981.0,10287.0,
63,Carrington College-Phoenix North,Phoenix,AZ,1,11.0,,,,1281.0,,,,,,2,,,,,,27200,38.0,32536.0,41182.0,0.06,5694.0,13.0,16832.5,53686.19,0.5819,4469.0,9031.0,
64,Carrington College-Mesa,Mesa,AZ,1,11.0,,,,591.0,,,,,,2,,,,,,27200,21.0,32536.0,41182.0,0.06,6628.0,9.0,16832.5,53686.19,0.616,6752.0,13101.0,
65,Carrington College-Tucson,Tucson,AZ,1,11.0,,,,517.0,,,,,,2,,,,,,27200,30.0,32536.0,41182.0,0.06,5362.0,8.0,16832.5,53686.19,0.6148,4383.0,9454.0,
66,Arizona Academy of Beauty,Tucson,AZ,1,11.0,,,,48.0,,,,,,3,,,,,,18800,24.0,26623.0,,<=0.20,,3.0,12607.5,47198.06,0.5904,1220.0,8932.0,
67,Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,1,21.0,,,,398.0,,,,,,3,,,,,,28100,15.0,26522.0,35029.0,0.03,,5.0,16310,52030.84,0.5053,5162.0,11309.0,
68,Brookline College-Phoenix,Phoenix,AZ,1,11.0,,,,1000.0,,,0.5785,0.4667,0.2,1,,,,,,23700,20.0,26057.0,31027.0,0.06,4348.0,18.0,15003.5,50758.42,0.759,3524.0,15547.0,0.5882
69,Arizona State University Campus Immersion,Tempe,AZ,3,12.0,0.8819,,,64216.0,11348.0,29438.0,0.6602,0.86,0.5183,1,1300.0,13696.0,3430.0,9974.0,4412.0,55500,18.0,53185.0,68098.0,0.17,11668.0,,35851.5,69074.33,0.3051,13199.0,18530.0,0.8611
70,Arizona Western College,Yuma,AZ,2,13.0,,,,7388.0,2900.0,11450.0,,,,2,2000.0,7702.0,5981.0,5580.0,8471.0,32000,20.0,30405.0,39773.0,0.07-0.08,7480.0,,21462.5,41365.15,0.0049,6883.0,1211.0,
71,University of Arizona,Tucson,AZ,3,11.0,0.8727,680.0,690.0,36560.0,12736.0,37258.0,0.6434,0.8403,0.4979,1,900.0,13450.0,3600.0,10900.0,5600.0,56000,17.0,52823.0,69611.0,0.18,11400.0,,43043,64708.31,0.2882,12902.0,14180.0,0.8479
72,Central Arizona College,Coolidge,AZ,2,41.0,,,,4388.0,2580.0,5160.0,,,,2,1600.0,7300.0,2800.0,7000.0,2800.0,31500,15.0,34082.0,41294.0,0.07,6834.0,,23659.5,49319.55,0.0444,7179.0,1541.0,
73,Charles of Italy Beauty College,Lake Havasu City,AZ,1,13.0,,,,56.0,,,,,,3,,,,,,22600,18.0,22548.0,,<=0.20,,1.0,14913,46757.68,0.5747,8895.0,8278.0,
74,Cochise County Community College District,Sierra Vista,AZ,2,13.0,,,,2922.0,2184.0,6240.0,,,,2,1800.0,7362.0,2791.0,12072.0,3426.0,34300,14.0,31202.0,42490.0,0.10-0.14,6461.0,,20864,44599.32,0.0601,2481.0,1038.0,
75,Empire Beauty School-Chandler,Chandler,AZ,1,11.0,,,,43.0,,,,,,3,,,,,,22000,11.0,22923.0,25611.0,0.05,,2.0,15061,53670.83,0.4304,9660.0,9448.0,
76,Avalon Institute-Mesa,Mesa,AZ,1,11.0,,,,377.0,,,,,,3,,,,,,23000,20.0,25946.0,24776.0,0.1,,4.0,23353,66538.28,0.6123,3443.0,7080.0,
77,Eastern Arizona College,Thatcher,AZ,2,33.0,,,,3187.0,2160.0,9120.0,,,,2,1006.0,9100.0,3760.0,11368.0,6466.0,35700,16.0,30836.0,42758.0,PrivacySuppressed,8011.0,,18854,44403.48,0.0,6603.0,1282.0,
78,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,3,41.0,0.7376,660.0,690.0,3015.0,38966.0,38966.0,0.699,0.7754,0.3979,1,1400.0,12736.0,4934.0,12736.0,4934.0,70300,17.0,73751.0,83733.0,0.18,9290.0,,38662,66671.2,0.381,14446.0,30059.0,0.7988
79,The School of Architecture,Paradise Valley,AZ,4,21.0,,,,,,,,,,1,,,,,,,,,,PrivacySuppressed,3213.0,,,,,22134.0,4885.0,
80,Glendale Community College,Glendale,AZ,1,21.0,,,,10528.0,2070.0,7854.0,,,,2,1464.0,,,8496.0,10476.0,38300,15.0,38971.0,45391.0,0.09,9548.0,,22267,60869.63,0.0874,7273.0,1570.0,
81,Grand Canyon University,Phoenix,AZ,3,11.0,0.8284,,,64210.0,17800.0,17800.0,0.4474,0.7059,0.374,1,800.0,7800.0,5700.0,7800.0,5700.0,58500,20.0,36135.0,47155.0,0.1,6956.0,,29879,62877.37,0.5497,2364.0,11504.0,0.7196
82,GateWay Community College,Phoenix,AZ,1,11.0,,,,3691.0,2070.0,7854.0,,,,2,1464.0,,,8496.0,10476.0,39000,11.0,43103.0,47488.0,0.1,8577.0,,21260,55530.55,0.1244,8002.0,2070.0,
83,Mesa Community College,Mesa,AZ,2,11.0,,,,12167.0,2070.0,7854.0,,,,2,1464.0,,,8496.0,10476.0,41500,15.0,38540.0,49418.0,0.09,9582.0,,22608.5,63155.06,0.086,6816.0,1959.0,
84,Mohave Community College,Kingman,AZ,1,41.0,,,,2622.0,2136.0,7008.0,,,,2,720.0,,,7960.0,3760.0,32900,13.0,30275.0,37122.0,0.08,6171.0,,19727,44384.44,0.0807,5799.0,2061.0,
85,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,1,22.0,,,,779.0,,,,,,2,,,,,,41600,41.0,33574.0,47034.0,0.07,5170.0,2.0,26362,62022.22,0.5146,4136.0,12836.0,
86,Dine College,Tsaile,AZ,2,43.0,,,,1224.0,1410.0,1410.0,0.0588,0.0909,,1,1400.0,4940.0,4950.0,4610.0,7260.0,23400,12.0,26473.0,32945.0,PrivacySuppressed,6347.0,,14495,32363.14,0.0,8780.0,293.0,0.4043
87,Northern Arizona University,Flagstaff,AZ,3,13.0,0.7835,,,23772.0,11896.0,26642.0,0.59,0.7446,0.4514,1,900.0,11338.0,4720.0,10914.0,4720.0,44600,21.0,46837.0,57390.0,0.15,8903.0,,41212,59985.62,0.3447,6139.0,7464.0,0.7538
88,Northland Pioneer College,Holbrook,AZ,1,41.0,,,,1124.0,2428.0,9850.0,,,,2,1400.0,,,8076.0,5500.0,31300,12.0,29478.0,40558.0,PrivacySuppressed,6888.0,,14950,39948.81,0.0,7781.0,823.0,
89,Ottawa University-Phoenix,Phoenix,AZ,3,11.0,,,,348.0,,,,,,1,,,,,,48100,9.0,46387.0,56018.0,0.08,6026.0,,37231.5,65346.8,0.6187,1962.0,9998.0,
90,Phoenix College,Phoenix,AZ,1,11.0,,,,6674.0,2070.0,7854.0,,,,2,1464.0,,,8496.0,10476.0,36000,12.0,38116.0,37879.0,0.05,9206.0,,20661,50868.19,0.0987,7423.0,1405.0,
91,Pima Community College,Tucson,AZ,1,11.0,,,,13128.0,2250.0,7566.0,,,,2,1920.0,,,9780.0,3084.0,35000,16.0,34940.0,43150.0,0.1,7256.0,,20576,50427.11,0.1062,5302.0,2018.0,
92,Pima Medical Institute-Tucson,Tucson,AZ,1,11.0,,,,2485.0,,,0.6651,,,1,,,,,,30600,20.0,33108.0,46525.0,0.1,5216.0,20.0,21596,59572.48,0.6179,3037.0,8217.0,
93,Pima Medical Institute-Albuquerque,Albuquerque,NM,1,11.0,,,,782.0,,,,,,2,,,,,,PrivacySuppressed,12.0,31050.0,40361.0,0.05-0.09,5252.0,11.0,19904.5,55047.79,0.5565,5853.0,8924.0,
94,Prescott College,Prescott,AZ,3,13.0,0.9932,,,383.0,34701.0,34701.0,0.4,0.75,0.3429,1,1018.0,9520.0,1923.0,8162.0,1923.0,34300,9.0,38620.0,35825.0,0.15-0.19,5070.0,,26676,62739.99,0.5355,6227.0,13202.0,0.6699
95,Refrigeration School Inc,Phoenix,AZ,1,11.0,,,,1007.0,,,,,,2,,,,,,45000,34.0,,48502.0,0.07-0.08,4379.0,6.0,21165,57880.38,0.7014,1964.0,15318.0,
96,Rio Salado College,Tempe,AZ,1,12.0,,,,3824.0,2070.0,7854.0,,,,2,1464.0,,,7552.0,3456.0,43400,25.0,40796.0,49293.0,0.07,6744.0,,21808.5,62743.54,0.0598,1775.0,2634.0,
97,Roberto-Venn School of Luthiery,Phoenix,AZ,1,11.0,,,,12.0,,,,,,3,,,,,,29000,6.0,,31534.0,<=0.20,,1.0,26717.5,63275.06,0.4,12881.0,16987.0,
98,Scottsdale Community College,Scottsdale,AZ,2,41.0,,,,4764.0,2070.0,7854.0,,,,2,1464.0,,,8496.0,10476.0,42500,15.0,41339.0,46159.0,0.1,9887.0,,22000,67477.78,0.0735,8935.0,2079.0,
99,South Mountain Community College,Phoenix,AZ,1,11.0,,,,2395.0,2070.0,7854.0,,,,2,1464.0,,,8496.0,10476.0,33400,15.0,34830.0,40991.0,0.06,9586.0,,21078,55144.14,0.0772,7416.0,1223.0,
100,Arizona Christian University,Glendale,AZ,3,21.0,0.7594,590.0,580.0,1012.0,30624.0,30624.0,0.3583,0.4804,0.3,1,1600.0,12000.0,5200.0,11000.0,6200.0,34900,18.0,31094.0,54678.0,0.15-0.19,5291.0,,36206.5,65520.64,0.7514,4486.0,13178.0,0.474
101,Universal Technical Institute of Arizona Inc,Avondale,AZ,2,22.0,,,,1995.0,,,,,,2,,,,,,48100,50.0,38900.0,52217.0,0.08,5472.0,10.0,28618,64889.67,0.5342,3683.0,16447.0,
102,Yavapai College,Prescott,AZ,1,13.0,,,,4004.0,2600.0,9332.0,,,,2,1160.0,10378.0,2364.0,11532.0,2364.0,34000,17.0,34178.0,40438.0,0.09,7748.0,,17699,48093.18,0.0569,7055.0,2391.0,
103,University of Arkansas at Little Rock,Little Rock,AR,3,12.0,0.5769,590.0,590.0,5025.0,8366.0,18957.0,0.3988,0.6548,0.2449,1,1250.0,9162.0,6059.0,11324.0,7793.0,39500,11.0,40658.0,49598.0,0.07,7772.0,,27239,51732.17,0.4335,8464.0,5489.0,0.6955
104,University of Arkansas for Medical Sciences,Little Rock,AR,3,12.0,,,,1072.0,,,,,,1,,,,,,69000,21.0,66993.0,93165.0,0.17-0.18,9475.0,,29171.5,49718.16,0.5157,47772.0,18169.0,
105,Arkansas Baptist College,Little Rock,AR,3,12.0,,,,414.0,8760.0,8760.0,0.0917,0.1978,0.0,1,1000.0,8826.0,4474.0,7780.0,4474.0,25100,23.0,24927.0,30731.0,<=0.01,4397.0,,14641,43283.78,0.6291,4418.0,2956.0,0.2521
