,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,InState_Tuition,OutOfState_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary
2430,University of Akron Main Campus,Akron,OH,3,12.0,0.8492,632.0,632.0,10811.0,11880.0,11880.0,0.6021,0.6903,0.2163,1,1000.0,10424.0,2520.0,12960.0,3120.0,41800,17.0,39181.0,53149.0,0.12,10122.0
2436,Ashland University,Ashland,OH,3,31.0,0.7001,640.0,610.0,2991.0,23090.0,23090.0,0.6763,0.7199,0.5571,1,912.0,10940.0,2596.0,5500.0,3728.0,42900,12.0,46795.0,59709.0,0.14,7359.0
2440,Aultman College of Nursing and Health Sciences,Canton,OH,3,13.0,0.3191,632.0,632.0,251.0,19310.0,19310.0,0.5,0.5294,0.0,1,1546.0,0.0,0.0,7456.0,5182.0,57900,6.0,60007.0,59523.0,0.05-0.09,6847.0
2441,Baldwin Wallace University,Berea,OH,3,21.0,0.7901,630.0,620.0,2808.0,35966.0,35966.0,0.6632,0.8179,0.5405,1,1500.0,12424.0,6400.0,11264.0,7000.0,49200,11.0,48819.0,59603.0,0.14,8361.0
2443,Bluffton University,Bluffton,OH,3,32.0,0.7522,632.0,632.0,718.0,34502.0,34502.0,0.5253,0.6923,0.4931,1,1400.0,11346.0,2600.0,7790.0,5590.0,41700,12.0,40138.0,52977.0,0.11-0.12,5615.0
2445,Bowling Green State University-Main Campus,Bowling Green,OH,3,31.0,0.7873,610.0,600.0,12779.0,13061.0,21049.0,0.6248,0.7825,0.4645,1,690.0,11974.0,3238.0,7794.0,4644.0,45300,18.0,43234.0,52625.0,0.13,9779.0
2450,Capital University,Columbus,OH,3,21.0,0.7417,640.0,620.0,2045.0,39338.0,39338.0,0.6153,0.7926,0.5449,1,1800.0,12008.0,2523.0,11652.0,5218.0,48400,10.0,49377.0,54140.0,0.15,8563.0
2451,Case Western Reserve University,Cleveland,OH,3,11.0,0.3024,740.0,790.0,5697.0,54532.0,54532.0,0.8436,0.9378,0.6728,1,1200.0,16482.0,1900.0,16482.0,1900.0,89300,9.0,73992.0,87051.0,0.37,11917.0
2452,Cedarville University,Cedarville,OH,3,31.0,0.6224,680.0,670.0,3613.0,33374.0,33374.0,0.7335,0.8623,0.643,1,1330.0,8120.0,2560.0,8120.0,2560.0,46800,15.0,41923.0,64939.0,0.41,7948.0
2455,Central State University,Wilberforce,OH,3,41.0,0.5864,480.0,470.0,6017.0,7262.0,9262.0,0.2347,0.4119,0.0809,1,1200.0,10480.0,1500.0,10480.0,2400.0,28600,25.0,32677.0,33695.0,<=0.01,6992.0
2458,The Christ College of Nursing and Health Sciences,Cincinnati,OH,3,11.0,0.6412,632.0,632.0,870.0,16405.0,16405.0,0.4186,0.8295,0.4118,1,1800.0,0.0,0.0,9100.0,6000.0,56100,12.0,0.0,0.0,0.10-0.14,6805.0
2460,University of Cincinnati-Main Campus,Cincinnati,OH,3,11.0,0.8483,670.0,680.0,27188.0,12598.0,27932.0,0.7298,0.8654,0.3808,1,1200.0,12288.0,2938.0,12288.0,4334.0,49700,19.0,45714.0,60202.0,0.16,10580.0
2466,Cleveland Institute of Art,Cleveland,OH,3,11.0,0.6588,680.0,590.0,574.0,45495.0,45495.0,0.5569,0.8993,0.4671,1,2200.0,11860.0,2950.0,7300.0,2950.0,41600,9.0,41318.0,55941.0,0.15-0.19,5714.0
2467,Cleveland Institute of Music,Cleveland,OH,3,11.0,0.3289,632.0,632.0,208.0,42116.0,42116.0,0.7121,1.0,0.5758,1,600.0,13700.0,2488.0,10800.0,2488.0,45200,8.0,37389.0,40202.0,0.20-0.39,7522.0
2468,Cleveland State University,Cleveland,OH,3,11.0,0.9129,590.0,580.0,10208.0,11690.0,16653.0,0.5084,0.6958,0.3281,1,800.0,14219.0,3470.0,12670.0,3470.0,46400,16.0,45983.0,56774.0,0.09,9778.0
2470,Columbus College of Art and Design,Columbus,OH,3,11.0,0.9438,632.0,632.0,975.0,37370.0,37370.0,0.5967,0.8227,0.5514,1,1742.0,11490.0,3976.0,11908.0,3476.0,39800,10.0,39131.0,39737.0,0.11-0.12,5580.0
2475,University of Dayton,Dayton,OH,3,12.0,0.8063,660.0,670.0,8555.0,44890.0,44890.0,0.7979,0.8807,0.641,1,1000.0,14870.0,1750.0,14870.0,1750.0,61400,15.0,60474.0,83478.0,0.31,9041.0
2476,Defiance College,Defiance,OH,3,32.0,0.6221,560.0,550.0,516.0,34804.0,34804.0,0.5116,0.5509,0.4128,1,1400.0,10826.0,2400.0,10826.0,3600.0,46500,11.0,41190.0,50410.0,0.11-0.12,6211.0
2477,Denison University,Granville,OH,3,23.0,0.2827,690.0,740.0,2312.0,57500.0,57500.0,0.813,0.8744,0.767,1,1000.0,13900.0,1500.0,13900.0,1500.0,57600,9.0,58045.0,72977.0,0.23-0.24,9958.0
2480,The University of Findlay,Findlay,OH,3,32.0,0.836,613.0,600.0,2204.0,37188.0,37188.0,0.6345,0.8787,0.4723,1,2000.0,10488.0,2504.0,6430.0,2504.0,49100,13.0,50968.0,65551.0,0.21,7391.0
2483,Gods Bible School and College,Cincinnati,OH,3,11.0,0.6458,632.0,632.0,221.0,7046.0,7046.0,0.4186,0.8636,0.4,1,750.0,4410.0,4000.0,7800.0,4950.0,24800,8.0,18436.0,44122.0,0.20-0.39,1083.0
2489,Heidelberg University,Tiffin,OH,3,32.0,0.8636,592.0,570.0,1036.0,33600.0,33600.0,0.5735,0.705,0.5184,1,1500.0,11070.0,1500.0,6750.0,1500.0,45700,15.0,40391.0,53119.0,0.15-0.16,6424.0
2490,Hiram College,Hiram,OH,3,31.0,0.9342,632.0,632.0,849.0,25000.0,25000.0,0.5313,0.7149,0.5063,1,700.0,10500.0,2572.0,9184.0,3072.0,46900,13.0,50123.0,55030.0,0.09-0.10,6650.0
2496,John Carroll University,University Heights,OH,3,21.0,0.8811,670.0,670.0,2609.0,45514.0,45514.0,0.7576,0.8637,0.6983,1,1250.0,12876.0,3500.0,8500.0,4500.0,61100,13.0,55508.0,67547.0,0.23,9303.0
2505,Kent State University at Kent,Kent,OH,3,21.0,0.8731,610.0,600.0,20136.0,11934.0,20810.0,0.6766,0.8072,0.6234,1,1200.0,12446.0,4020.0,8882.0,5938.0,42400,19.0,40704.0,51790.0,0.11,9605.0
2507,Kenyon College,Gambier,OH,3,32.0,0.3655,750.0,750.0,1868.0,63310.0,63310.0,0.8653,0.9058,0.8279,1,1900.0,13310.0,1750.0,9769.88,3565.42,54500,9.0,61355.0,69963.0,0.35-0.39,9190.0
2508,Kettering College,Kettering,OH,3,13.0,0.253,632.0,632.0,567.0,14232.0,14232.0,0.4915,0.7302,0.3818,1,1718.0,8148.0,5125.0,14592.0,6340.0,60200,12.0,60549.0,78678.0,0.11-0.12,8068.0
2509,Lake Erie College,Painesville,OH,3,21.0,0.5473,570.0,560.0,644.0,34046.0,34046.0,0.4528,0.6294,0.3585,1,1220.0,10714.0,2960.0,15180.0,4268.0,40600,13.0,43353.0,52786.0,0.13-0.14,5656.0
2516,Lourdes University,Sylvania,OH,3,21.0,0.7524,632.0,632.0,811.0,27072.0,27072.0,0.5772,0.581,0.349,1,1490.0,12200.0,2945.0,8496.0,2495.0,41300,13.0,43084.0,50363.0,0.05-0.06,7049.0
2517,Malone University,Canton,OH,3,13.0,0.7803,590.0,588.0,882.0,33400.0,33400.0,0.5967,0.7225,0.5185,1,1300.0,10400.0,3000.0,8000.0,3700.0,48100,12.0,43170.0,54979.0,0.15,6409.0
2518,Marietta College,Marietta,OH,3,31.0,0.8309,600.0,590.0,1124.0,37460.0,37460.0,0.5088,0.6746,0.4311,1,1294.0,11768.0,1624.0,4054.0,2200.0,57700,8.0,46326.0,64528.0,0.19-0.20,7412.0
2525,Miami University-Oxford,Oxford,OH,3,31.0,0.886,680.0,690.0,16868.0,16704.0,37379.0,0.83,0.8921,0.727,1,1240.0,15080.0,2618.0,15080.0,2618.0,55400,16.0,51222.0,63970.0,0.2,10459.0
2528,Mount Carmel College of Nursing,Columbus,OH,3,11.0,0.5221,632.0,632.0,621.0,15109.0,15109.0,0.8068,0.5806,0.75,1,1500.0,0.0,0.0,6600.0,3240.0,58100,10.0,64345.0,83306.0,0.15-0.19,8312.0
2529,University of Mount Union,Alliance,OH,3,31.0,0.7974,580.0,600.0,1865.0,33400.0,33400.0,0.6816,0.7164,0.6331,1,1100.0,10900.0,1536.0,7650.0,2472.0,48600,12.0,47170.0,57766.0,0.17,7429.0
2530,Mount Vernon Nazarene University,Mount Vernon,OH,3,32.0,0.8723,618.0,600.0,1490.0,32864.0,32864.0,0.5921,0.7791,0.4602,1,1500.0,9246.0,3900.0,4500.0,4600.0,50000,13.0,43014.0,58660.0,0.14,6429.0
2531,Mount Saint Joseph University,Cincinnati,OH,3,21.0,0.6316,580.0,613.0,1087.0,33250.0,33250.0,0.534,0.7176,0.4259,1,1200.0,10400.0,1000.0,9000.0,1800.0,44600,11.0,48248.0,57385.0,0.13-0.14,7168.0
2533,Muskingum University,New Concord,OH,3,32.0,0.8562,632.0,632.0,1501.0,30090.0,30090.0,0.5126,0.6781,0.3978,1,1100.0,12050.0,1718.0,12050.0,1546.0,43500,13.0,43344.0,51981.0,0.11-0.12,7518.0
2539,Notre Dame College,Cleveland,OH,3,21.0,0.8239,570.0,530.0,1141.0,31350.0,31350.0,0.3878,0.6099,0.1953,1,1400.0,10458.0,3090.0,10250.0,3090.0,43900,12.0,44825.0,56029.0,0.09,5260.0
2542,Oberlin College,Oberlin,OH,3,31.0,0.3434,750.0,710.0,2942.0,60240.0,60240.0,0.823,0.9098,0.7171,1,1908.0,17854.0,1500.0,9858.0,1908.0,45500,9.0,49409.0,55395.0,0.37-0.38,8927.0
