,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,InState_Tuition,OutOfState_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary
0,Alabama A & M University,Normal,AL,3,12.0,0.716,520.0,510.0,5098.0,10024.0,18634.0,0.2807,0.5797,0.1121,1,1600.0,9520.0,3090.0,9520.0,3090.0,35500,18.0,38167.0,40250.0,0.02,8779.0
1,University of Alabama at Birmingham,Birmingham,AL,3,12.0,0.8854,680.0,708.0,13284.0,8568.0,20400.0,0.6245,0.8392,0.4209,1,1200.0,12307.0,5555.0,12307.0,5555.0,48400,19.0,46559.0,59181.0,0.1,11590.0
3,University of Alabama in Huntsville,Huntsville,AL,3,12.0,0.7367,700.0,720.0,7358.0,11488.0,23884.0,0.6072,0.7899,0.3528,1,2300.0,10764.0,4156.0,10764.0,4156.0,52000,19.0,47787.0,67454.0,0.14,9820.0
4,Alabama State University,Montgomery,AL,3,12.0,0.9799,534.0,516.0,3495.0,11068.0,19396.0,0.2843,0.6436,0.1014,1,1600.0,6050.0,3392.0,7320.0,5130.0,30600,13.0,32303.0,36964.0,0.02,7701.0
5,The University of Alabama,Tuscaloosa,AL,3,13.0,0.789,680.0,690.0,30725.0,11620.0,31090.0,0.7223,0.8855,0.5264,1,800.0,13934.0,4670.0,13934.0,4670.0,51600,19.0,49692.0,65820.0,0.16,10509.0
8,Auburn University at Montgomery,Montgomery,AL,3,12.0,0.968,595.0,565.0,3742.0,8860.0,18820.0,0.3569,0.6303,0.1272,1,1200.0,7368.0,3830.0,10296.0,3830.0,38000,15.0,41023.0,52419.0,0.07,7885.0
9,Auburn University,Auburn,AL,3,13.0,0.7118,632.0,632.0,24782.0,11826.0,31986.0,0.8088,0.9289,0.552,1,1200.0,14596.0,6028.0,14596.0,6028.0,56300,20.0,51747.0,72676.0,0.22,11093.0
10,Birmingham-Southern College,Birmingham,AL,3,12.0,0.6591,610.0,630.0,1048.0,20100.0,20100.0,0.6984,0.7813,0.6485,1,1000.0,13600.0,2770.0,8000.0,4690.0,53100,10.0,50574.0,62871.0,0.15-0.19,7636.0
15,Faulkner University,Montgomery,AL,3,12.0,0.646,600.0,605.0,1696.0,23490.0,23490.0,0.1851,0.6421,0.1191,1,1800.0,7900.0,4400.0,7900.0,4400.0,40700,13.0,36554.0,50237.0,0.04,6271.0
22,Huntingdon College,Montgomery,AL,3,12.0,0.693,560.0,510.0,838.0,27900.0,27900.0,0.4422,0.7215,0.3347,1,300.0,10460.0,2068.0,9460.0,2068.0,43600,15.0,44896.0,52578.0,0.11-0.12,7133.0
26,Jacksonville State University,Jacksonville,AL,3,23.0,0.7634,580.0,660.0,6992.0,11120.0,20840.0,0.4966,0.6922,0.2576,1,1196.0,8320.0,1997.0,9927.0,2680.0,38100,19.0,38720.0,45632.0,0.07,7499.0
30,University of West Alabama,Livingston,AL,3,43.0,0.7433,470.0,510.0,2310.0,10990.0,20090.0,0.3914,0.627,0.2602,1,1216.0,7594.0,3505.0,7200.0,3505.0,40400,14.0,33826.0,44939.0,0.05,6730.0
34,University of Mobile,Mobile,AL,3,41.0,0.6409,632.0,632.0,1112.0,24855.0,24855.0,0.5141,0.6426,0.3582,1,1800.0,10088.0,4750.0,9000.0,4800.0,38700,14.0,38868.0,55918.0,0.07-0.08,5411.0
35,University of Montevallo,Montevallo,AL,3,21.0,0.9009,590.0,610.0,2184.0,13710.0,26730.0,0.517,0.7099,0.3393,1,1020.0,9936.0,3180.0,9810.0,3180.0,36100,12.0,38636.0,46025.0,0.07,7518.0
37,University of North Alabama,Florence,AL,3,13.0,0.8997,632.0,632.0,5165.0,10620.0,20220.0,0.5121,0.7492,0.2829,1,1500.0,7966.0,2800.0,7966.0,2800.0,42800,17.0,38568.0,46053.0,0.09,8567.0
39,Oakwood University,Huntsville,AL,3,12.0,0.7185,632.0,632.0,1353.0,19990.0,19990.0,0.4911,0.7327,0.2657,1,1200.0,9374.0,8000.0,12840.0,8370.0,37400,10.0,40972.0,41672.0,0.02,5011.0
42,Samford University,Birmingham,AL,3,21.0,0.8387,660.0,630.0,3604.0,35360.0,35360.0,0.7891,0.8929,0.6812,1,1000.0,11260.0,4894.0,11250.0,5490.0,59800,12.0,51988.0,65203.0,0.25-0.26,9220.0
45,University of South Alabama,Mobile,AL,3,12.0,0.7078,610.0,605.0,8631.0,8756.0,17012.0,0.4741,0.7098,0.2791,1,1300.0,8150.0,4762.0,9020.0,4762.0,46800,17.0,40703.0,53151.0,0.09,7494.0
46,Spring Hill College,Mobile,AL,3,12.0,0.7152,530.0,530.0,989.0,21100.0,21100.0,0.5639,0.786,0.4819,1,1750.0,11440.0,2714.0,15888.0,2788.0,51300,11.0,48758.0,55502.0,0.15-0.16,5519.0
47,Stillman College,Tuscaloosa,AL,3,13.0,0.758,632.0,632.0,721.0,11392.0,11392.0,0.1466,0.6356,0.0647,1,2034.0,10054.0,4572.0,10054.0,4572.0,33700,14.0,32072.0,37115.0,<=0.02,5110.0
50,Troy University,Troy,AL,3,33.0,0.9527,580.0,570.0,10916.0,9312.0,18624.0,0.5183,0.7402,0.295,1,1300.0,7599.0,4766.0,10342.0,4766.0,41100,16.0,37986.0,50596.0,0.05,7194.0
51,Tuskegee University,Tuskegee,AL,3,32.0,0.342,580.0,550.0,2184.0,22614.0,22614.0,0.5697,0.7959,0.2686,1,1812.0,9844.0,7654.0,10055.0,7654.0,42200,9.0,40593.0,46996.0,0.03,7398.0
54,University of Alaska Anchorage,Anchorage,AK,3,11.0,0.6905,632.0,632.0,7284.0,8622.0,25228.0,0.3047,0.6869,0.1516,1,1320.0,12662.0,8276.0,9868.0,9763.0,51200,12.0,45312.0,56895.0,0.15,9370.0
56,University of Alaska Fairbanks,Fairbanks,AK,3,23.0,0.6469,680.0,680.0,4108.0,7248.0,21384.0,0.3845,0.6793,0.2634,1,2000.0,10540.0,2650.0,12050.0,4250.0,45100,12.0,41851.0,55256.0,0.15,9570.0
58,Alaska Pacific University,Anchorage,AK,3,11.0,0.9603,632.0,632.0,347.0,20760.0,20760.0,0.2222,0.6842,0.1667,1,1200.0,8300.0,4410.0,17500.0,4410.0,45300,8.0,47566.0,48737.0,0.10-0.19,6497.0
69,Arizona State University Campus Immersion,Tempe,AZ,3,12.0,0.8819,632.0,632.0,64216.0,11348.0,29438.0,0.6602,0.86,0.5183,1,1300.0,13696.0,3430.0,9974.0,4412.0,55500,18.0,53185.0,68098.0,0.17,11668.0
71,University of Arizona,Tucson,AZ,3,11.0,0.8727,680.0,690.0,36560.0,12736.0,37258.0,0.6434,0.8403,0.4979,1,900.0,13450.0,3600.0,10900.0,5600.0,56000,17.0,52823.0,69611.0,0.18,11400.0
78,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,3,41.0,0.7376,660.0,690.0,3015.0,38966.0,38966.0,0.699,0.7754,0.3979,1,1400.0,12736.0,4934.0,12736.0,4934.0,70300,17.0,73751.0,83733.0,0.18,9290.0
81,Grand Canyon University,Phoenix,AZ,3,11.0,0.8284,632.0,632.0,64210.0,17800.0,17800.0,0.4474,0.7059,0.374,1,800.0,7800.0,5700.0,7800.0,5700.0,58500,20.0,36135.0,47155.0,0.1,6956.0
87,Northern Arizona University,Flagstaff,AZ,3,13.0,0.7835,632.0,632.0,23772.0,11896.0,26642.0,0.59,0.7446,0.4514,1,900.0,11338.0,4720.0,10914.0,4720.0,44600,21.0,46837.0,57390.0,0.15,8903.0
94,Prescott College,Prescott,AZ,3,13.0,0.9932,632.0,632.0,383.0,34701.0,34701.0,0.4,0.75,0.3429,1,1018.0,9520.0,1923.0,8162.0,1923.0,34300,9.0,38620.0,35825.0,0.15-0.19,5070.0
100,Arizona Christian University,Glendale,AZ,3,21.0,0.7594,590.0,580.0,1012.0,30624.0,30624.0,0.3583,0.4804,0.3,1,1600.0,12000.0,5200.0,11000.0,6200.0,34900,18.0,31094.0,54678.0,0.15-0.19,5291.0
103,University of Arkansas at Little Rock,Little Rock,AR,3,12.0,0.5769,590.0,590.0,5025.0,8366.0,18957.0,0.3988,0.6548,0.2449,1,1250.0,9162.0,6059.0,11324.0,7793.0,39500,11.0,40658.0,49598.0,0.07,7772.0
108,Lyon College,Batesville,AR,3,33.0,0.2721,590.0,605.0,576.0,30414.0,30414.0,0.4554,0.6868,0.3709,1,1500.0,10730.0,2500.0,10730.0,2850.0,44800,10.0,40532.0,52804.0,0.10-0.14,6087.0
111,University of Arkansas,Fayetteville,AR,3,13.0,0.8267,620.0,600.0,24001.0,9574.0,26390.0,0.6968,0.8708,0.5193,1,1100.0,11942.0,4362.0,11942.0,4362.0,52700,19.0,49683.0,60530.0,0.18,10047.0
112,University of Arkansas at Pine Bluff,Pine Bluff,AR,3,13.0,0.6753,508.0,508.0,2444.0,8398.0,15268.0,0.4075,0.6343,0.2612,1,1120.0,8624.0,3606.0,4858.0,4636.0,30600,14.0,31395.0,38093.0,0.02,6008.0
114,Arkansas State University,Jonesboro,AR,3,13.0,0.6329,590.0,610.0,7478.0,7130.0,12698.0,0.5384,0.7473,0.3778,1,1250.0,9640.0,4633.0,9570.0,5753.0,36600,14.0,36211.0,45205.0,0.08,7423.0
115,Arkansas Tech University,Russellville,AR,3,33.0,0.9437,632.0,632.0,6467.0,7900.0,13636.0,0.4578,0.6282,0.2939,1,1240.0,8996.0,3285.0,13711.0,4274.0,38600,18.0,35919.0,47980.0,0.09,6845.0
120,University of Central Arkansas,Conway,AR,3,13.0,0.9237,600.0,560.0,7763.0,9563.0,16433.0,0.494,0.7071,0.3389,1,1200.0,7896.0,4992.0,7810.0,6646.0,42500,15.0,40302.0,49025.0,0.09,7271.0
121,Central Baptist College,Conway,AR,3,13.0,0.616,588.0,548.0,546.0,17400.0,17400.0,0.3889,0.6549,0.3803,1,1488.0,7500.0,2478.0,5528.0,3518.0,43000,11.0,36383.0,49650.0,0.05-0.09,5492.0
129,Harding University,Searcy,AR,3,32.0,0.5414,660.0,640.0,3262.0,22230.0,22230.0,0.6717,0.8422,0.4859,1,1200.0,7718.0,3390.0,7718.0,3390.0,47000,16.0,45696.0,55129.0,0.19,7507.0
130,Henderson State University,Arkadelphia,AR,3,32.0,0.7501,583.0,568.0,2205.0,7560.0,9768.0,0.372,0.562,0.2388,1,2598.0,9558.0,7378.0,8312.0,7795.0,40400,14.0,37877.0,43403.0,0.07,6613.0
131,Hendrix College,Conway,AR,3,13.0,0.683,680.0,660.0,1103.0,33350.0,33350.0,0.7289,0.8032,0.7033,1,1100.0,13200.0,2900.0,9954.0,2900.0,44500,11.0,46607.0,54532.0,0.25-0.29,7615.0
134,John Brown University,Siloam Springs,AR,3,32.0,0.5287,655.0,665.0,1381.0,28924.0,28924.0,0.7039,0.8026,0.6061,1,800.0,9554.0,2850.0,2500.0,2850.0,55400,15.0,45459.0,69973.0,0.21-0.22,7137.0
142,Ouachita Baptist University,Arkadelphia,AR,3,32.0,0.7375,632.0,632.0,1572.0,30140.0,30140.0,0.6675,0.8432,0.5995,1,1100.0,8510.0,4200.0,9470.0,4200.0,46000,13.0,41890.0,55868.0,0.19-0.20,6545.0
145,University of the Ozarks,Clarksville,AR,3,33.0,0.5537,550.0,580.0,775.0,24950.0,24950.0,0.488,0.6105,0.4067,1,1000.0,8000.0,2400.0,8000.0,2400.0,38600,15.0,37331.0,43693.0,0.10-0.14,6875.0
157,Williams Baptist University,Walnut Ridge,AR,3,42.0,0.641,590.0,520.0,593.0,18570.0,18570.0,0.3175,0.2136,0.2619,1,1250.0,8550.0,3020.0,7850.0,3800.0,36400,17.0,35282.0,47696.0,0.10-0.14,5416.0
159,Southern Arkansas University Main Campus,Magnolia,AR,3,33.0,0.626,570.0,570.0,2795.0,9410.0,14630.0,0.4008,0.6406,0.2709,1,1600.0,7595.0,6177.0,7595.0,7806.0,39000,15.0,37269.0,45990.0,0.07,7043.0
175,Art Center College of Design,Pasadena,CA,3,12.0,0.7556,632.0,632.0,2026.0,48044.0,48044.0,0.7586,0.8504,0.3046,1,4000.0,0.0,0.0,13530.0,6492.0,62300,8.0,67619.0,73830.0,0.21-0.22,7942.0
178,Azusa Pacific University,Azusa,CA,3,21.0,0.941,628.0,638.0,3937.0,41510.0,41510.0,0.7151,0.7928,0.5328,1,1126.0,9820.0,3142.0,17254.0,4862.0,55900,10.0,58110.0,67249.0,0.16,8957.0
183,Biola University,La Mirada,CA,3,21.0,0.6077,688.0,660.0,3592.0,44382.0,44382.0,0.6994,0.878,0.5503,1,1200.0,10202.0,3716.0,10202.0,3716.0,50700,13.0,47448.0,62385.0,0.24,9807.0
189,California Baptist University,Riverside,CA,3,11.0,0.6373,632.0,632.0,8234.0,37018.0,37018.0,0.5674,0.7866,0.373,1,1126.0,10710.0,3060.0,17254.0,4842.0,47500,19.0,51359.0,63538.0,0.15,10151.0
190,California College of the Arts,San Francisco,CA,3,11.0,0.7763,632.0,632.0,1239.0,52312.0,52312.0,0.6542,0.822,0.4375,1,1500.0,19117.0,3450.0,15662.0,4160.0,48000,8.0,41402.0,55677.0,0.19-0.20,8739.0
192,California Institute of Technology,Pasadena,CA,3,12.0,0.0392,632.0,632.0,987.0,58680.0,58680.0,0.9292,0.9911,0.8625,1,1428.0,17748.0,2091.0,17253.0,4761.0,106300,3.0,85002.0,109257.0,0.60-0.79,20924.0
193,California Lutheran University,Thousand Oaks,CA,3,12.0,0.8194,640.0,650.0,2588.0,46012.0,46012.0,0.7378,0.8327,0.6807,1,1125.0,14970.0,3079.0,17253.0,4861.0,60200,14.0,60821.0,71851.0,0.23,10375.0
194,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,3,23.0,0.33,632.0,632.0,21090.0,10195.0,28105.0,0.8539,0.9463,0.5704,1,909.0,16332.0,2244.0,16332.0,2244.0,74300,21.0,72806.0,96477.0,0.4,10582.0
196,California State University-Bakersfield,Bakersfield,CA,3,11.0,0.8521,632.0,632.0,8870.0,7579.0,19459.0,0.4756,0.7513,0.1741,1,1266.0,12900.0,3132.0,15464.0,4474.0,50100,21.0,53326.0,60296.0,0.15,9468.0
197,California State University-Stanislaus,Turlock,CA,3,23.0,0.9476,632.0,632.0,9161.0,7644.0,19524.0,0.5762,0.7933,0.1893,1,1225.0,11576.0,3133.0,15465.0,3826.0,48500,20.0,54764.0,64803.0,0.16,9639.0
198,California State University-San Bernardino,San Bernardino,CA,3,12.0,0.9097,632.0,632.0,16595.0,7213.0,19093.0,0.5696,0.7804,0.1872,1,1145.0,12822.0,3634.0,16011.0,4040.0,48800,25.0,51349.0,61745.0,0.14,9973.0
199,California State Polytechnic University-Pomona,Pomona,CA,3,21.0,0.6062,632.0,632.0,26802.0,7439.0,19319.0,0.7018,0.8768,0.2843,1,1045.0,16570.0,3133.0,13643.0,3708.0,58000,28.0,56915.0,76518.0,0.22,10556.0
200,California State University-Chico,Chico,CA,3,12.0,0.8547,632.0,632.0,14343.0,7864.0,19744.0,0.6537,0.8088,0.3306,1,1184.0,14838.0,2236.0,12208.0,2728.0,55400,22.0,55893.0,69927.0,0.2,9593.0
201,California State University-Dominguez Hills,Carson,CA,3,13.0,0.8959,632.0,632.0,15214.0,7060.0,18940.0,0.5253,0.7032,0.158,1,1100.0,15120.0,2662.0,19652.0,4238.0,48500,25.0,47379.0,56487.0,0.12,9821.0
202,California State University-Fresno,Fresno,CA,3,11.0,0.9728,632.0,632.0,21826.0,6653.0,18533.0,0.5657,0.7691,0.1784,1,1125.0,10758.0,3792.0,16003.0,4304.0,48500,22.0,52047.0,61563.0,0.16,9546.0
203,California State University-Fullerton,Fullerton,CA,3,21.0,0.5943,632.0,632.0,35502.0,6976.0,18856.0,0.7147,0.8681,0.2897,1,1203.0,16703.0,3133.0,17100.0,5003.0,51800,25.0,55014.0,64051.0,0.21,10353.0
204,California State University-East Bay,Hayward,CA,3,21.0,0.8236,632.0,632.0,12047.0,6995.0,18875.0,0.4844,0.8049,0.1214,1,1034.0,14373.0,4258.0,16235.0,5114.0,58200,24.0,63204.0,65982.0,0.17,10355.0
205,California State University-Long Beach,Long Beach,CA,3,11.0,0.4685,632.0,632.0,33765.0,6846.0,18726.0,0.7547,0.8729,0.3424,1,1070.0,13938.0,3134.0,13358.0,3638.0,53000,23.0,58408.0,65972.0,0.21,10297.0
206,California State University-Los Angeles,Los Angeles,CA,3,11.0,0.9054,632.0,632.0,23506.0,6785.0,18665.0,0.519,0.7309,0.1098,1,1226.0,16860.0,3133.0,18602.0,6006.0,49900,25.0,51461.0,59651.0,0.15,10102.0
207,California State University-Northridge,Northridge,CA,3,11.0,0.881,632.0,632.0,34436.0,7043.0,18923.0,0.542,0.8185,0.1655,1,1486.0,11502.0,3132.0,18962.0,4366.0,49700,26.0,53426.0,60910.0,0.16,10127.0
208,California State University-Sacramento,Sacramento,CA,3,11.0,0.9368,632.0,632.0,29370.0,7392.0,19272.0,0.5746,0.8091,0.2031,1,1110.0,15944.0,3640.0,19096.0,3890.0,54200,25.0,57557.0,68517.0,0.18,9713.0
209,University of California-Berkeley,Berkeley,CA,3,12.0,0.1444,632.0,632.0,31811.0,14226.0,43980.0,0.9281,0.9615,0.7897,1,1118.0,20236.0,5893.0,16377.0,6199.0,79000,20.0,80202.0,98670.0,0.37,18770.0
210,University of California-Davis,Davis,CA,3,23.0,0.4875,632.0,632.0,31637.0,14645.0,44399.0,0.8694,0.9105,0.6194,1,1197.0,17018.0,4743.0,11551.0,5191.0,68100,21.0,68668.0,82612.0,0.34,15968.0
211,University of California-Irvine,Irvine,CA,3,11.0,0.2882,632.0,632.0,29438.0,13775.0,43529.0,0.8367,0.9347,0.6831,1,1319.0,16869.0,4339.0,14681.0,5258.0,65800,18.0,71686.0,83854.0,0.31,16688.0
212,University of California-Los Angeles,Los Angeles,CA,3,11.0,0.1077,632.0,632.0,32122.0,13258.0,43012.0,0.9213,0.9693,0.826,1,1405.0,16763.0,4871.0,15950.0,5560.0,73200,18.0,74996.0,87902.0,0.32,19498.0
213,University of California-Riverside,Riverside,CA,3,11.0,0.6538,632.0,632.0,22817.0,13754.0,43508.0,0.7645,0.8817,0.6131,1,1536.0,16864.0,4306.0,12010.0,5012.0,55300,24.0,60523.0,67802.0,0.24,14807.0
214,University of California-San Diego,La Jolla,CA,3,11.0,0.342,632.0,632.0,33339.0,14700.0,44454.0,0.8935,0.95,0.7302,1,1152.0,16145.0,4163.0,14383.0,4881.0,69600,19.0,75009.0,90831.0,0.36,16913.0
216,University of California-Santa Barbara,Santa Barbara,CA,3,22.0,0.2918,632.0,632.0,23081.0,14417.0,44171.0,0.8538,0.9119,0.699,1,1317.0,16699.0,5287.0,13803.0,5837.0,62400,17.0,67647.0,75783.0,0.28,17654.0
217,University of California-Santa Cruz,Santa Cruz,CA,3,13.0,0.5864,632.0,632.0,17864.0,14070.0,43824.0,0.7809,0.8886,0.6039,1,1180.0,17429.0,5179.0,15135.0,5722.0,53800,24.0,62508.0,66286.0,0.26,15513.0
223,California Institute of the Arts,Valencia,CA,3,21.0,0.2898,632.0,632.0,959.0,53466.0,53466.0,0.7193,0.9351,0.614,1,2500.0,12135.0,7826.0,16000.0,7826.0,50600,7.0,37140.0,55031.0,0.15-0.19,9555.0
224,California State University Maritime Academy,Vallejo,CA,3,12.0,0.8209,632.0,632.0,880.0,7116.0,18996.0,0.6818,0.7796,0.5864,1,1032.0,11942.0,7218.0,14956.0,8618.0,87800,12.0,71884.0,94981.0,0.30-0.34,10310.0
240,Chapman University,Orange,CA,3,12.0,0.6037,700.0,710.0,7469.0,58634.0,58634.0,0.799,0.9194,0.7163,1,1600.0,16542.0,3320.0,12978.0,4570.0,56600,12.0,61946.0,72507.0,0.29,12582.0
242,Concordia University-Irvine,Irvine,CA,3,11.0,0.8138,640.0,620.0,1580.0,38740.0,38740.0,0.6796,0.7645,0.6048,1,1100.0,12560.0,3100.0,16500.0,4900.0,50800,15.0,55697.0,67801.0,0.21,7385.0
243,San Diego Christian College,Spring Valley,CA,3,21.0,0.527,632.0,632.0,438.0,34310.0,34310.0,0.473,0.6,0.3611,1,1126.0,12970.0,4276.0,17254.0,4762.0,42500,12.0,45416.0,56005.0,0.11-0.12,6874.0
249,Claremont McKenna College,Claremont,CA,3,21.0,0.1124,750.0,780.0,1414.0,58111.0,58111.0,0.9271,0.984,0.7988,1,1200.0,17906.0,1500.0,17906.0,2130.0,93200,8.0,89055.0,99737.0,0.20-0.39,14789.0
253,University of Silicon Valley,San Jose,CA,3,11.0,0.5065,632.0,632.0,420.0,21784.0,21784.0,0.4393,0.6316,0.1682,1,1000.0,17742.0,2648.0,15336.0,4232.0,60400,12.0,0.0,0.0,0.15-0.19,7739.0
271,Dominican University of California,San Rafael,CA,3,13.0,0.9293,630.0,645.0,1243.0,47910.0,47910.0,0.7738,0.8075,0.6786,1,1126.0,15772.0,3052.0,17254.0,4834.0,63600,10.0,72361.0,67540.0,0.25-0.26,9008.0
288,Fresno Pacific University,Fresno,CA,3,11.0,0.7786,620.0,620.0,2668.0,33452.0,33452.0,0.6768,0.7158,0.5549,1,1080.0,8710.0,2609.0,11164.0,3784.0,45600,11.0,51608.0,62716.0,0.1,7738.0
301,Harvey Mudd College,Claremont,CA,3,21.0,0.0999,760.0,800.0,905.0,60703.0,60703.0,0.9439,0.9757,0.8832,1,800.0,19333.0,1400.0,16055.0,1643.33,104200,9.0,98298.0,169309.0,0.65-0.69,14431.0
303,Holy Names University,Oakland,CA,3,11.0,0.9531,632.0,632.0,592.0,40904.0,40904.0,0.5798,0.6212,0.4958,1,1125.0,13994.0,2979.0,17253.0,4761.0,57600,9.0,68503.0,64902.0,0.13-0.14,8092.0
305,California State Polytechnic University-Humboldt,Arcata,CA,3,33.0,0.9146,632.0,632.0,5336.0,7864.0,19744.0,0.475,0.7368,0.2029,1,1070.0,12540.0,3344.0,13390.0,3344.0,40100,16.0,42450.0,51551.0,0.15,9796.0
315,Life Pacific University,San Dimas,CA,3,21.0,0.9397,632.0,632.0,419.0,18300.0,18300.0,0.5111,0.5167,0.3194,1,1125.0,10107.0,3079.0,17253.0,4861.0,34400,10.0,36253.0,48835.0,0.10-0.14,6168.0
316,University of La Verne,La Verne,CA,3,21.0,0.7194,580.0,555.0,3686.0,45850.0,45850.0,0.6936,0.7966,0.5975,1,1125.0,14470.0,2979.0,17253.0,4761.0,52700,13.0,58506.0,73050.0,0.11,9284.0
317,Laguna College of Art and Design,Laguna Beach,CA,3,41.0,0.833,632.0,632.0,735.0,33600.0,33600.0,0.7037,0.7838,0.4691,1,2030.0,16496.0,3954.0,17077.0,5557.0,41400,8.0,49140.0,60797.0,0.20-0.24,9260.0
326,La Sierra University,Riverside,CA,3,11.0,0.6607,570.0,570.0,1270.0,34218.0,34218.0,0.449,0.7185,0.345,1,1125.0,8790.0,3006.0,17253.0,6693.0,54600,16.0,57047.0,65238.0,0.1,8020.0
335,The Master's University and Seminary,Santa Clarita,CA,3,21.0,0.6698,632.0,632.0,1338.0,28870.0,28870.0,0.7164,0.8381,0.6617,1,1125.0,12330.0,2635.0,17253.0,3843.0,52100,14.0,38544.0,62479.0,0.31-0.32,8364.0
340,Loyola Marymount University,Los Angeles,CA,3,11.0,0.4582,700.0,720.0,6999.0,53526.0,53526.0,0.7877,0.898,0.7152,1,1125.0,15306.0,2979.0,17253.0,4761.0,71600,11.0,69119.0,80534.0,0.27,12022.0
349,Menlo College,Atherton,CA,3,21.0,0.6978,632.0,632.0,743.0,47425.0,47425.0,0.5497,0.7087,0.4768,1,1124.0,15990.0,1736.0,11685.0,2312.0,59700,14.0,61617.0,66562.0,0.15-0.19,9962.0
352,Mills College at Northeastern University,Oakland,CA,3,11.0,0.7981,743.0,670.0,438.0,30950.0,30950.0,0.6403,0.6179,0.609,1,1611.0,14369.0,2468.0,14369.0,4178.0,49500,8.0,56976.0,0.0,0.21-0.22,10284.0
362,Mount Saint Mary's University,Los Angeles,CA,3,11.0,0.9012,632.0,632.0,1898.0,45388.0,45388.0,0.5895,0.7308,0.4674,1,2242.0,12704.0,6382.0,15080.0,6382.0,63500,13.0,70027.0,114707.0,0.12,10354.0
367,National University,San Diego,CA,3,11.0,0.5455,632.0,632.0,7160.0,13320.0,13320.0,0.4667,1.0,0.1071,1,1125.0,0.0,0.0,17253.0,4761.0,59000,16.0,62986.0,76056.0,0.09,10145.0
369,Newschool of Architecture and Design,San Diego,CA,3,11.0,0.6085,632.0,632.0,301.0,29427.0,29427.0,0.537,0.4643,0.2593,1,3210.0,0.0,0.0,13527.0,10794.0,55100,8.0,61497.0,63000.0,<=0.10,6756.0
374,San Francisco Bay University,Fremont,CA,3,21.0,0.45,632.0,632.0,6.0,8720.0,8720.0,0.2667,0.0,0.2,1,1210.0,9200.0,2950.0,12000.0,3000.0,0,2.0,0.0,0.0,PrivacySuppressed,5463.0
376,Occidental College,Los Angeles,CA,3,11.0,0.3824,740.0,750.0,1952.0,58426.0,58426.0,0.8291,0.9179,0.7942,1,1240.0,16712.0,1500.0,15940.7,5664.9,59400,9.0,63991.0,73862.0,0.33-0.34,11376.0
379,Otis College of Art and Design,Los Angeles,CA,3,11.0,0.7982,720.0,640.0,1191.0,50950.0,50950.0,0.6859,0.7813,0.5916,1,840.0,15744.0,3268.0,15744.0,3268.0,52400,9.0,47303.0,61373.0,0.15-0.19,8226.0
381,Hope International University,Fullerton,CA,3,21.0,0.3997,530.0,650.0,619.0,35450.0,35450.0,0.4196,0.6556,0.2411,1,1125.0,12500.0,2979.0,17253.0,4761.0,40700,13.0,39765.0,49296.0,0.13-0.14,5666.0
384,Pacific Oaks College,Pasadena,CA,3,12.0,0.1304,632.0,632.0,479.0,11692.0,11692.0,0.0,0.0,0.0,1,2028.0,0.0,0.0,18536.0,8568.0,43100,5.0,50971.0,0.0,0.07-0.08,6109.0
387,Pacific Union College,Angwin,CA,3,41.0,0.5773,632.0,632.0,799.0,32103.0,32103.0,0.396,0.6095,0.2456,1,1125.0,8916.0,2979.0,17257.0,4761.0,61700,12.0,64777.0,69856.0,0.17-0.18,6281.0
388,University of the Pacific,Stockton,CA,3,11.0,0.793,680.0,700.0,3269.0,52352.0,52352.0,0.6949,0.845,0.4358,1,1125.0,14070.0,2979.0,13891.0,4761.0,84200,13.0,77050.0,87533.0,0.27,11095.0
392,Pepperdine University,Malibu,CA,3,21.0,0.5271,710.0,730.0,3706.0,59702.0,59702.0,0.8295,0.9338,0.7248,1,1250.0,16700.0,2500.0,16700.0,2500.0,77600,13.0,71236.0,94515.0,0.28,12961.0
393,Pitzer College,Claremont,CA,3,21.0,0.1831,632.0,632.0,1168.0,57978.0,57978.0,0.8839,0.9315,0.8052,1,1100.0,19180.0,1300.0,14572.0,1300.0,51500,12.0,62287.0,66244.0,0.30-0.34,11766.0
395,Point Loma Nazarene University,San Diego,CA,3,11.0,0.8366,680.0,670.0,3170.0,39500.0,39500.0,0.7274,0.8412,0.6538,1,1126.0,11300.0,2980.0,17254.0,4762.0,54400,15.0,61193.0,67918.0,0.28,10559.0
396,Pomona College,Claremont,CA,3,21.0,0.0664,770.0,800.0,1747.0,56686.0,56686.0,0.9298,0.9573,0.8647,1,1000.0,18524.0,1500.0,15687.0,1500.0,77300,7.0,70106.0,76282.0,0.40-0.49,13749.0
