,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,Completion_Rate_100%_Expected_Time,ICLEVEL,Book_And_Supply,Room_Board_On_Campus,Other_Expense_On_Campus,Room_Board_Off,Other_Expenses_Off_Campus,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,First_Year_Student_Retention_Rate
54,University of Alaska Anchorage,Anchorage,AK,3,11,0.6905,635,624,7284,8622,25228,0.3047,0.1516,1,1320,12662,8276,9868,9763,51200,12,45312,56895,0.15,9370,,33525,72116.59,0.1708,13122,8106,0.684
56,University of Alaska Fairbanks,Fairbanks,AK,3,23,0.6469,680,680,4108,7248,21384,0.3845,0.2634,1,2000,10540,2650,12050,4250,45100,12,41851,55256,0.15,9570,,35967,65084.81,0.1844,19104,9274,0.729
57,University of Alaska Southeast,Juneau,AK,1,33,0.5625,635,624,999,6960,21096,0.3034,0.1286,1,1400,9800,2448,10872,3716,39500,9,41544,41567,0.11,8436,,34718,73622.06,0.144,15362,8622,0.6406
71,University of Arizona,Tucson,AZ,3,11,0.8727,680,690,36560,12736,37258,0.6434,0.4979,1,900,13450,3600,10900,5600,56000,17,52823,69611,0.18,11400,,43043,64708.31,0.2882,12902,14180,0.8479
87,Northern Arizona University,Flagstaff,AZ,3,13,0.7835,635,624,23772,11896,26642,0.59,0.4514,1,900,11338,4720,10914,4720,44600,21,46837,57390,0.15,8903,,41212,59985.62,0.3447,6139,7464,0.7538
203,California State University-Fullerton,Fullerton,CA,3,21,0.5943,635,624,35502,6976,18856,0.7147,0.2897,1,1203,16703,3133,17100,5003,51800,25,55014,64051,0.21,10353,,28124,73036.4,0.1913,6668,5270,0.8783
205,California State University-Long Beach,Long Beach,CA,3,11,0.4685,635,624,33765,6846,18726,0.7547,0.3424,1,1070,13938,3134,13358,3638,53000,23,58408,65972,0.21,10297,,26465,66954.9,0.2307,7483,4712,0.8812
207,California State University-Northridge,Northridge,CA,3,11,0.881,635,624,34436,7043,18923,0.542,0.1655,1,1486,11502,3132,18962,4366,49700,26,53426,60910,0.16,10127,,22839,64055.44,0.2136,6440,4251,0.8274
209,University of California-Berkeley,Berkeley,CA,3,12,0.1444,635,624,31811,14226,43980,0.9281,0.7897,1,1118,20236,5893,16377,6199,79000,20,80202,98670,0.37,18770,,31227,77601.85,0.1481,21463,21095,0.9614
212,University of California-Los Angeles,Los Angeles,CA,3,11,0.1077,635,624,32122,13258,43012,0.9213,0.826,1,1405,16763,4871,15950,5560,73200,18,74996,87902,0.32,19498,,32613.5,72896.84,0.1224,60528,18698,0.963
213,University of California-Riverside,Riverside,CA,3,11,0.6538,635,624,22817,13754,43508,0.7645,0.6131,1,1536,16864,4306,12010,5012,55300,24,60523,67802,0.24,14807,,35809,68292.12,0.3373,14457,12175,0.8955
214,University of California-San Diego,La Jolla,CA,3,11,0.342,635,624,33339,14700,44454,0.8935,0.7302,1,1152,16145,4163,14383,4881,69600,19,75009,90831,0.36,16913,,35914,76397.62,0.246,22086,18651,0.946
487,Adams State University,Alamosa,CO,3,33,0.9983,570,570,1484,9680,17933,0.287,0.2198,1,1800,9167,3150,11844,3150,38100,11,34744,43238,0.1,6465,,31933,50726.71,0.4932,8530,6779,0.5926
492,University of Colorado Colorado Springs,Colorado Springs,CO,3,11,0.9527,635,624,9634,8766,21222,0.4414,0.2312,1,1800,10920,4660,11080,4660,49300,16,46372,60355,0.17,8428,,42591,70639.18,0.3481,9798,9307,0.6904
494,University of Colorado Boulder,Boulder,CO,3,12,0.7958,690,700,30414,12496,38314,0.7404,0.5306,1,1200,15676,2979,13050,2979,59700,18,60294,71679,0.27,12044,,70221,81327.65,0.2472,18097,20776,0.8611
502,Colorado State University-Fort Collins,Fort Collins,CO,3,12,0.8964,650,640,24344,12331,31613,0.6912,0.4671,1,1200,13016,1799,11844,1799,53400,17,50739,66888,0.22,10534,,63463.5,73818.06,0.3386,14690,15851,0.8528
511,Fort Lewis College,Durango,CO,3,32,0.9275,620,580,3260,9004,19660,0.4406,0.2958,1,1240,12012,3714,10528,3714,39400,14,39216,43974,0.15,7218,,41306.5,61685.3,0.3117,9153,3815,0.6096
516,Colorado Mesa University,Grand Junction,CO,3,13,0.8024,610,590,7904,9000,22322,0.3809,0.2758,1,1560,11265,3110,8478,3110,42300,18,38798,51236,0.13,7164,,44794,56304.4,0.3896,9082,8250,0.7357
530,Colorado State University Pueblo,Pueblo,CO,3,12,0.9917,570,560,3092,9005,15659,0.3856,0.2078,1,1854,11170,5516,11783,5516,41600,15,44520,53002,0.1,6918,,38397,54713.6,0.5808,5348,4860,0.6556
811,University of Hawaii at Hilo,Hilo,HI,3,33,0.9217,630,580,2630,7838,20798,0.427,0.273,1,1350,8248,3966,12786,11338,41800,13,43384,50712,0.14,10873,,27504,59308.27,0.3253,16118,7133,0.7125
812,University of Hawaii at Manoa,Honolulu,HI,3,11,0.6998,660,630,13839,12186,34218,0.5891,0.3666,1,1350,13642,2742,13642,2742,51800,14,51684,61333,0.19,12905,,40609,71646.27,0.2907,22581,11441,0.7987
